mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice,mPoster
23,Deception: Oo Pel Dan Myin,"Min Htet possesses a perfect life which will be envied by a lot. He is rich; owns a gallery and in addition to all that, has a beautiful wife called Zin Mar. He is the epitome of happiness ...","Drama,Thriller",Not Rated,2018,88,"Burmese, English",Myanmar,Christina Kyi,Zenn Kyi,"Zenn Kyi,Thet Mon Myint,Aung Myint Myat,Kaew Korravee",8.20,https://m.media-amazon.com/images/M/MV5BNTJmYzViMzktZThhNi00ZjAxLWI4YjUtMWI1MDQ5NjcyYWVmXkEyXkFqcGdeQXVyODQ2OTYzOTA@._V1_SX300.jpg
24,Closet Land,"In a drab police state, an author of children's books is interrogated by a sadistic, secret policeman. She's under suspicion of embedding anti-government messages in her stories.","Drama,Thriller",R,1991,89,English,USA,Radha Bharadwaj,Radha Bharadwaj,"Alan Rickman,Madeleine Stowe",7.00,https://m.media-amazon.com/images/M/MV5BNTc4MDhlYTgtNzk3Ni00MTcwLWEwYzMtZThjZWYxNTA0ZjIyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
25,Elektra Luxx,Life for porn actress Elektra Luxx gets turned upside down when she finds out she's pregnant.,"Comedy,Drama",R,2010,100,English,USA,Sebastian Gutierrez,"Sebastian Gutierrez,Sebastian Gutierrez t","Joseph Gordon-Levitt,Carla Gugino,Ermahn Ospina,Jake Hames",5.10,https://m.media-amazon.com/images/M/MV5BMTM0MDU1MjkyMF5BMl5BanBnXkFtZTcwNDQ5MDA1NA@@._V1_SX300.jpg
26,Don McCullin: Redundant Warrior Part 2,NULL,Documentary,NULL,1991,25,English,UK,David G. Hopkins,NULL,Don McCullin,4.40,NULL
27,3 Godfathers,Three outlaws on the run risk their freedom and their lives to return a newborn to civilization.,"Drama,Western",Passed,1948,106,"English, Spanish",USA,John Ford,Laurence Stallings t,"John Wayne,Pedro ArmendÃ¡riz,Harry Carey Jr.,Ward Bond",7.10,https://m.media-amazon.com/images/M/MV5BNjNmMzE5MzEtZmM3YS00ODljLWI1YTEtMWU1MmMyZGNiODg1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
28,Lines that Divide: The Great Stem Cell Debate,NULL,Documentary,APPROVED,2009,57,English,USA,Brian Godawa,Brian Godawa,NULL,2.20,NULL
29,Death on the Nile: Making of Featurette,"Featurette documenting the making of the film ""Death On The Nile"".",Short,NULL,1978,22,English,UK,John Guillermin,NULL,"Jane Birkin,John Brabourne,Lois Chiles,Bette Davis",8.50,NULL
30,All Night Long: Anyone Would Have Done,NULL,"Horror,Thriller",NULL,2009,85,Japanese,Japan,Katsuya Matsumura,Katsuya Matsumura t,"Marika Hase,Maki Kitani,Takashi Yamanaka,Megumi Yoshikawa",5.70,NULL
31,Bad Day on the Block,"During a heat wave, a fireman hero/Charlie Sheen has it in for the family next door and whoever else bothers him.","Drama,Thriller",R,1997,88,English,USA,Craig R. Baxley,Betsy Giffen Nowrasteh,"Charlie Sheen,Mare Winningham,David Andrews,Noah Fleiss",5.30,https://m.media-amazon.com/images/M/MV5BNGZlNDljNWYtMDFiYS00MTJjLWE4MjctMjI5NjY3N2NkNDE3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
32,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,"A disgraced Ranger takes command of an old, possibly haunted, ship on an escort mission that encounters deadly peril from a new enemy civilization.","Action,Adventure,Sci-Fi",Not Rated,2002,90,English,USA,Michael Vejar,J. Michael Straczynski,"Dylan Neal,Andreas Katsulas,Alex Zahara,Myriam Sirois",6.10,https://m.media-amazon.com/images/M/MV5BZDdlYjdiZmEtYWEzYi00MDhmLWFjZmUtNzZmYTA2OWE5MmVhXkEyXkFqcGdeQXVyMzYyMzU2OA@@._V1_SX300.jpg
33,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,"Action,Crime,Thriller",PG-13,2006,104,"English, Japanese, Portuguese","USA, Germany, Japan",Justin Lin,Chris Morgan,"Lucas Black,Damien Marzette,Trula M. Marcus,Zachery Ty Bryan",6.00,https://m.media-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SX300.jpg
34,Welcome to Collinwood: Uncensored,"Welcome to Collinwood Uncensored is an original mockumentary featuring Sam Rockwell as ""Guy Storm"". The film follows Guy as he interviews the cast and crew of Welcome to Collinwood about ...","Short,Comedy",NULL,2003,12,English,USA,"Andy Davoli,David Davoli,Mark Davoli","Andy Davoli,David Davoli,Mark Davoli","Patricia Clarkson,Andy Davoli,Jennifer Esposito,Luis GuzmÃ¡n",7.00,NULL
35,Trancers II,"6 years after a time cop returns home from battling future alien zombies, his settled life is turned upside down when a mad scientists creates more.","Action,Horror,Sci-Fi",R,1991,88,English,USA,Charles Band,Jackson Barr t,"Tim Thomerson,Helen Hunt,Megan Ward,Biff Manard",5.40,https://m.media-amazon.com/images/M/MV5BMTMxNzY4NTM3OF5BMl5BanBnXkFtZTcwMjI0NTYzNQ@@._V1_SX300.jpg
36,Destry Rides Again,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.","Comedy,Western",Approved,1939,95,"English, Russian",USA,George Marshall,Felix Jackson t,"Marlene Dietrich,James Stewart,Mischa Auer,Charles Winninger",7.70,https://m.media-amazon.com/images/M/MV5BMjlhOTRlMTctMmNkYy00NDFiLTg5NzItZjcyMTA5ZDYyMDBlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
37,Let It Be Me,"After becoming engaged to Emily, Gabe finds himself watching a graceful pair of dancers in a dance studio window. Hoping to learn to dance for his upcoming wedding, Gabe enters the studio ...","Drama,Romance",PG-13,1995,88,English,USA,Eleanor Bergstein,Eleanor Bergstein,"Campbell Scott,Jennifer Beals,Yancy Butler,Patrick Stewart",5.70,https://m.media-amazon.com/images/M/MV5BODA2YzNjOGYtNTBhZS00NTRiLTlmZDctMDQ0ZTFkOTYyYWY5XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
38,Nightmare Factory,"An inside look at the world of Hollywood special effects and the company paving the way, KNB Effects.",Documentary,Not Rated,2011,90,English,Canada,Donna Davies,Donna Davies,"Gabriel Bartalos,Howard Berger,Steve Biodrowski,Alex Brewer",7.40,https://m.media-amazon.com/images/M/MV5BMDVlNjY3MTQtZDc4YS00OWNhLTliYzUtODIyOTkzYzgwODQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
39,Assassination Games,Two assassins agree to work together as one tries to avenge his wife and the other collect a reward for a job.,"Action,Crime,Drama,Thriller",R,2011,101,English,"USA, Hong Kong, Romania",Ernie Barbarash,Aaron Rahsaan Thomas,"Jean-Claude Van Damme,Scott Adkins,Ivan Kaye,Valentin Teodosiu",6.10,https://m.media-amazon.com/images/M/MV5BM2RmMjc4NzAtMzMzYi00N2NmLTkxMmYtOGM3NzhiNDZkNTQzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
40,Theodore Rex,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.","Action,Comedy,Family,Sci-Fi",PG,1995,92,English,USA,Jonathan R. Betuel,Jonathan R. Betuel,"Whoopi Goldberg,Armin Mueller-Stahl,Juliet Landau,Bud Cort",2.50,https://m.media-amazon.com/images/M/MV5BMGE2MDBhODctN2JhMy00NGRjLWFlZjAtNjk5MGUwNTBmMzJlXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg
41,Bakgat! tot die mag 3,"Landing in England, an aspiring rugby player who struggles to fit in with the locals decides to put his own team together in order to win the rugby league prize money to pay for his wedding...",Comedy,NULL,2013,100,"Afrikaans, English",South Africa,Stefan Nieuwoudt,"Henk Pretorius,Hanneke Schutte","Ivan Botha,Cherie van der Merwe,Altus Theart,Neil Sharim",6.10,https://m.media-amazon.com/images/M/MV5BMTM3OTcxOTQ4N15BMl5BanBnXkFtZTgwMjgyMTIxMDE@._V1_SX300.jpg
42,"See No Evil, Hear No Evil and Everything Else","In a world full of fantastic visuals, amazing sounds and music... this film makes use of two of your key senses.",Short,NULL,2009,9,"English, French",UK,Pierre Henri Landriau,Pierre Henri Landriau t,"Remi Dubois,Pierre Henri Landriau,Richard J. Moir,Tom Kennedy Ota",9.40,NULL
43,Charlie Chan in Egypt,"While investigating the theft of antiquities from an ancient tomb excavation, Charlie discovers that the body of the expedition's leader concealed inside the mummy's wrappings.","Crime,Drama,Mystery,Thriller",Approved,1935,73,English,USA,Louis King,Robert Ellis t,"Warner Oland,Pat Paterson,Thomas Beck,Rita Hayworth",6.80,https://m.media-amazon.com/images/M/MV5BNjA5MzQ4NmMtODViNy00OTMyLTg4YTgtYWE2YTUyYTBlYmUzXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
44,Brown of Harvard,"Tom Brown shows up at Harvard, confident and a bit arrogant. He becomes a rival of Bob McAndrew, not only in football and rowing crew, but also for the affections of Mary Abbott, a ...","Action,Drama,Romance",Passed,1926,85,"None, English",USA,Jack Conway,Rida Johnson Young t,"William Haines,Jack Pickford,Mary Brian,Francis X. Bushman Jr.",6.20,https://m.media-amazon.com/images/M/MV5BMTYxMDgwMDY1OV5BMl5BanBnXkFtZTgwMjk0NDIwMjE@._V1_SX300.jpg
45,The Beast of the City,Police Chief Jim Fitzpatrick ruthlessly goes after organized crime and is prepared to use brutal and violent methods to fight it.,"Crime,Drama,Film-Noir",Passed,1932,86,English,USA,Charles Brabin,W.R. Burnett t,"Walter Huston,Jean Harlow,Wallace Ford,Jean Hersholt",6.80,https://m.media-amazon.com/images/M/MV5BNDQzMTEyNTEwMV5BMl5BanBnXkFtZTgwMzYzMDMyMjE@._V1_SX300.jpg
46,Decampitated,"Seven friends are going camping at the infamous DeCamp acres for a weekend. But they crash their car and have to walk, encountering a psychopath who tries to kill them one by one.","Comedy,Horror",R,1998,92,English,USA,Matt Cunningham,Matt Cunningham t,"Amy Gordon,Mike Hart,Steve Ladden,Wayne Larsen",4.90,https://m.media-amazon.com/images/M/MV5BMTY4NzAzNTYyNF5BMl5BanBnXkFtZTcwMDkzMTgyMQ@@._V1_SX300.jpg
47,Pulling Strings,"After a night of drinking, Rachel (Laura Ramsey), a diplomat working in Mexico City finds her world turned upside down after she's saved by Alejandro (Jaime Camil), a Mariachi singer whose visa was rejected the day before - by Rachel.","Comedy,Romance",PG,2013,111,"English, Spanish",Mexico,Pitipol Ybarra,Georgina Garcia Riedel t,"Jaime Camil,Laura Ramsey,Omar Chaparro,Aurora Papile",6.00,https://m.media-amazon.com/images/M/MV5BMTk4NjAxMTYyMF5BMl5BanBnXkFtZTgwOTY4MDEzMDE@._V1_SX300.jpg
48,Human Desire,A Korean War vet returns to his job as a railroad engineer and becomes involved in an affair with a co-worker's wife following a murder on a train where they meet.,"Drama,Film-Noir,Romance",Not Rated,1954,91,English,USA,Fritz Lang,Alfred Hayes t,"Glenn Ford,Gloria Grahame,Broderick Crawford,Edgar Buchanan",7.10,https://m.media-amazon.com/images/M/MV5BMGJlNWE4NmEtMmVjOC00MWE4LWI4MGItYWRmOTU5OWU3YTQ1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg
49,Blue Jasmine,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",Drama,PG-13,2013,98,English,USA,Woody Allen,Woody Allen,"Cate Blanchett,Joy Carlin,Richard Conti,Glen Caspillo",7.30,https://m.media-amazon.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg
50,Claudine Ã  l'Ã©cole,NULL,Comedy,NULL,1937,92,French,France,Serge de Poligny,Colette t,"Max Dearly,Pierre Brasseur,Suzet MaÃ¯s,Blanchette Brunoy",6.40,
51,Get the Gringo: Story & Design,NULL,Short,NULL,2012,8,English,USA,NULL,NULL,"Adrian Grunberg,Oscar Guevara,Kevin Hernandez,Anna Terrazas",2.20,NULL
52,'Dog Day Afternoon': The Story,NULL,Short,NULL,2006,12,English,USA,Laurent Bouzereau,Laurent Bouzereau,"Martin Bregman,John Cazale,Al Pacino,Frank Pierson",6.50,NULL
53,Charlie Chan in Reno,"Mary Whitman, an old friend of Charlie's in Reno for a divorce, finds herself accused of murdering the woman her husband planned to marry after the decree became final.","Crime,Drama,Mystery,Thriller",Approved,1939,71,English,USA,Norman Foster,Frances Hyland t,"Sidney Toler,Ricardo Cortez,Phyllis Brooks,Slim Summerville",7.10,https://m.media-amazon.com/images/M/MV5BMTExMDVlZTctYTM5ZC00ZDQ2LTgxNDUtNWY5MTdiOTIwNDI3XkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg
54,ParaNorman,"A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.","Animation,Adventure,Comedy,Family,Fantasy,Mystery",PG,2012,92,English,USA,"Chris Butler,Sam Fell",Chris Butler,"Kodi Smit-McPhee,Tucker Albrizzi,Anna Kendrick,Casey Affleck",7.00,https://m.media-amazon.com/images/M/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1_SX300.jpg
55,A Dream House Nightmare,A couple's pleasant new life in the country is threatened by the mysterious new next door neighbors.,Comedy,NULL,2007,90,Italian,Italy,Federico Zampaglione,"Rudolph Gentile,Federico Zampaglione","Claudia Gerini,Luca Lionello,Emilio De Marchi,Anna Marcello",5.30,https://m.media-amazon.com/images/M/MV5BNDE1MGQ1MjktODM0Ny00OTBjLThlYTctNTAzMjJkOTY5NDAzXkEyXkFqcGdeQXVyNjkyODc4NDE@._V1_SX300.jpg
56,Final Destination 5: Circle of Death,A look at the making of Final Destination 5.,"Documentary,Short",Not Rated,2011,5,English,USA,NULL,NULL,"Emma Bell,P.J. Byrne,Nicholas D'Agosto,Arlen Escarpeta",6.10,NULL
57,Maniac Cop 2,"A supernatural, maniac killer cop teams up with a Times Square serial killer.","Crime,Horror,Action,Thriller",R,1990,90,English,USA,William Lustig,Larry Cohen,"Robert Davi,Claudia Christian,Michael Lerner,Bruce Campbell",5.90,https://m.media-amazon.com/images/M/MV5BMjdkMGU0ZjAtMTIzZC00YjlkLWExZjMtOGE4ZjQyMDFmNmZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
58,Strait-Jacket,"After a twenty-year stay at an asylum for a double murder, a mother returns to her estranged daughter where suspicions arise about her behavior.","Drama,Horror,Thriller",Approved,1964,93,English,USA,William Castle,Robert Bloch,"Joan Crawford,Diane Baker,Leif Erickson,Howard St. John",6.80,https://m.media-amazon.com/images/M/MV5BNTU1Yzc4MWItMjZmOS00OTgzLTlhOTEtMjMxYzYxOWJkNGNlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
59,Berlin Is in Germany,"When Martin, a former GDR citizen, is released from jail, he lately becomes confronted with the consequences of the German re-unification.",Drama,NULL,2001,99,"German, Russian, French, Spanish, English",Germany,Hannes StÃ¶hr,Hannes StÃ¶hr,"JÃ¶rg SchÃ¼ttauf,Julia JÃ¤ger,Robin Becker,Robert Lohr",7.00,https://m.media-amazon.com/images/M/MV5BMTU4NjI3OTg4MV5BMl5BanBnXkFtZTcwNDgzMDUyMQ@@._V1_SX300.jpg
60,About Cherry,"A troubled young woman moves to San Francisco, where she becomes involved in pornography and aligns herself with a cocaine-addicted lawyer.",Drama,R,2012,98,English,USA,Stephen Elliott,"Stephen Elliott,Lorelei Lee","Ashley Hinshaw,Lili Taylor,Dev Patel,Diane Farr",4.80,https://m.media-amazon.com/images/M/MV5BMTM4MTA3MTk0MF5BMl5BanBnXkFtZTcwNDI0NjAyOA@@._V1_SX300.jpg
61,Biker Boyz,A son of the leader of a legendary group of an urban biker gang tries to retain his championship title.,"Action,Drama",PG-13,2003,110,English,USA,Reggie Rock Bythewood,"Michael Gougis t,Craig Fernandez,Reggie Rock Bythewood","Laurence Fishburne,Derek Luke,Orlando Jones,Djimon Hounsou",4.70,https://m.media-amazon.com/images/M/MV5BMTAxNTY1NzA4MzJeQTJeQWpwZ15BbWU2MDQzMTMzNw@@._V1_SX300.jpg
62,Renegades of the West,"Tom Bagby has gone to prison to learn of his father's killer. Returning, he looks for Curly Bogard who he thinks did it. Keeping his identity a secret, he gets a job on Curly's ranch. Just ...","Action,Adventure,Music,Western",Passed,1932,55,English,USA,Casey Robinson,Albert S. Le Vino t,"Tom Keene,Roscoe Ates,Betty Furness,Jim Mason",5.60,https://m.media-amazon.com/images/M/MV5BMWIyNDgzZWUtOThjOC00YjZmLTlhOWEtNGVlMWJmMTFmZDIwXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg
