mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice
466,Code Name: The Cleaner,"An amnesiac wakes up in a hotel room next to a dead FBI agent and $250,000. Is the sexy lady in the lobby his wife? Is he a spy or a cleaner?","Action,Comedy,Crime",PG-13,2007,84,English,USA,Les Mayfield,"Robert Adetuyi,George Gallo","Cedric the Entertainer,Lucy Liu,Nicollette Sheridan,Mark Dacascos",4.6
386,We Still Kill the Old Way,"When retired East End villain Charlie Archer is murdered by a feral street gang, his brother Ritchie returns to London from Spain to investigate.","Action,Comedy,Crime,Drama,Thriller",,2014,94,English,UK,Sacha Bennett,"Sacha Bennett,Dougie Brimson,Gary Lawrence,Colin Lomax,Rod Smith","Ian Ogilvy,Alison Doody,Christopher Ellison,Danny Hatchard",6
36,Rush Hour 2,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.","Action,Comedy,Crime,Thriller",PG-13,2001,90,"English, Mandarin, Cantonese","Hong Kong, USA",Brett Ratner,"Ross LaManna t,Jeff Nathanson","Jackie Chan,Chris Tucker,John Lone,Ziyi Zhang",6.6
565,The Healing Powers of Dude,"Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.","Action,Comedy,Family",TV-Y,2020–,25,,,,"Sam Littenberg-Weisberg,Erica Spates","Jace Chapman,Larisa Oleynik,Mauricio Lara,Sophie Kim",6.5
58,Theodore Rex,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.","Action,Comedy,Family,Sci-Fi",PG,1995,92,English,USA,Jonathan R. Betuel,Jonathan R. Betuel,"Whoopi Goldberg,Armin Mueller-Stahl,Juliet Landau,Bud Cort",2.4
457,Dance of the Dead,"On the night of the big High-School Prom, the dead rise to eat the living, and the only people who can stop them are the losers who couldn't get dates to the dance.","Action,Comedy,Horror,Sci-Fi",R,2008,87,English,USA,Gregg Bishop,Joe Ballarini,"Jared Kusnitz,Greyson Chadwick,Chandler Darby,Carissa Capobianco",5.8
314,Leonard Part 6,Secret Agent Leonard Parker (Bill Cosby) is called out of retirement to save the world from evil genius Medusa Johnson (Gloria Foster).,"Action,Comedy,Sci-Fi",PG,1987,85,English,USA,Paul Weiland,Jonathan Reynolds t,"Bill Cosby,Tom Courtenay,Joe Don Baker,Moses Gunn",2.2
310,Hawaii Five-0,Steve McGarrett returns home to Oahu in order to find his father\'s killer; The Governor offers him the chance to run his own task force - Five-0.,"Action,Crime,Drama",TV-14,2010–2020,42,English,USA,,"Peter M. Lenkov,Alex Kurtzman,Leonard Freeman,Roberto Orci","Alex O'Loughlin,Scott Caan,Taylor Wily,Daniel Dae Kim",7.3
652,Only God Forgives,"Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.","Action,Crime,Drama",R,2013,90,"English, Thai","Denmark, France, USA, Sweden, Belgium",Nicolas Winding Refn,Nicolas Winding Refn,"Ryan Gosling,Kristin Scott Thomas,Vithaya Pansringarm,Gordon Brown",5.7
57,Assassination Games,Two assassins agree to work together as one tries to avenge his wife and the other collect a reward for a job.,"Action,Crime,Drama,Thriller",R,2011,101,English,"USA, Hong Kong, Romania",Ernie Barbarash,Aaron Rahsaan Thomas,"Jean-Claude Van Damme,Scott Adkins,Ivan Kaye,Valentin Teodosiu",6.1
374,Kidnapping Mr. Heineken,"The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual.","Action,Crime,Drama,Thriller",R,2015,95,"English, Dutch, German","Netherlands, Belgium, UK, USA",Daniel Alfredson,"William Brookfield,Peter R. de Vries t","Jim Sturgess,Sam Worthington,Ryan Kwanten,Anthony Hopkins",6.1
664,Harley Davidson and the Marlboro Man,"Forced by the imminent foreclosure of their friend's bar, two lifelong buddies will decide to rob a bank's armored car, not knowing that its cargo is not money but a new street drug.","Action,Crime,Drama,Thriller,Western",R,1991,98,English,USA,Simon Wincer,Don Michael Paul,"Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin",6.2
50,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,"Action,Crime,Thriller",PG-13,2006,104,"English, Japanese, Portuguese","USA, Germany, Japan",Justin Lin,Chris Morgan,"Lucas Black,Damien Marzette,Trula M. Marcus,Zachery Ty Bryan",6
80,Biker Boyz,A son of the leader of a legendary group of an urban biker gang tries to retain his championship title.,"Action,Drama",PG-13,2003,110,English,USA,Reggie Rock Bythewood,"Michael Gougis t,Craig Fernandez,Reggie Rock Bythewood","Laurence Fishburne,Derek Luke,Orlando Jones,Djimon Hounsou",4.7
294,Men of Means,"In a world where two men in close proximity will eventually draw guns, Rico ""BULLET"" Burke finds himself at a crossroads. Having long ago ruined his brilliant collegiate football career ...","Action,Drama",,1998,80,English,Canada,George Mendeluk,Shane Perez t,"Michael Paré,Kaela Dobkin,Raymond Serra,Austin Pendleton",6.3
501,Terminator: The Sarah Connor Chronicles,"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.","Action,Drama,Fantasy,Sci-Fi,Thriller",TV-PG,2008–2009,60,English,USA,,Josh Friedman,"Lena Headey,Thomas Dekker,Summer Glau,Richard T. Jones",7.7
62,Brown of Harvard,"Tom Brown shows up at Harvard, confident and a bit arrogant. He becomes a rival of Bob McAndrew, not only in football and rowing crew, but also for the affections of Mary Abbott, a ...","Action,Drama,Romance",Passed,1926,85,"None, English",USA,Jack Conway,Rida Johnson Young t,"William Haines,Jack Pickford,Mary Brian,Francis X. Bushman Jr.",6.2
22,Sailor of the King,"In 1940, Canadian sailor Andrew Brown is prisoner on a battle damaged German raider and he plans to delay the raider's at-sea repairs until a British naval task-force can destroy it.","Action,Drama,Romance,War",Approved,1953,83,"English, German",UK,Roy Boulting,C.S. Forester t,"Jeffrey Hunter,Michael Rennie,Wendy Hiller,Bernard Lee",6.9
277,Sailor of the King,"In 1940, Canadian sailor Andrew Brown is prisoner on a battle damaged German raider and he plans to delay the raider's at-sea repairs until a British naval task-force can destroy it.","Action,Drama,Romance,War",Approved,1953,83,"English, German",UK,Roy Boulting,C.S. Forester t,"Jeffrey Hunter,Michael Rennie,Wendy Hiller,Bernard Lee",6.9
422,Ten Seconds to Hell,"After 1945, six German ex-soldiers are hired to defuse unexploded Allied bombs in the ruins of Berlin.","Action,Drama,Romance,War",Approved,1959,93,English,"UK, USA",Robert Aldrich,Robert Aldrich t,"Jack Palance,Jeff Chandler,Martine Carol,Robert Cornthwaite",6.5
667,The Return of Ringo,"A returning Union Officer discovers that his home has been overrun by Mexican bandits, and infiltrates the gang to restore order and determine if his wife has been faithful to him.","Action,Drama,Romance,Western",Not Rated,1965,95,Italian,"Italy, Spain",Duccio Tessari,Duccio Tessari t,"Giuliano Gemma,Fernando Sancho,Lorella De Luca,Nieves Navarro",6.8
168,Seraphim Falls,"At the end of the Civil War, a colonel hunts down a man with whom he has a grudge.","Action,Drama,Thriller,War,Western",R,2006,115,English,USA,David Von Ancken,"David Von Ancken,Abby Everett Jaques","Liam Neeson,Pierce Brosnan,Michael Wincott,Xander Berkeley",6.7
617,Dead in Tombstone,"A leader killed by his own gang, gets offered a chance by Satan himself to escape damnation.","Action,Fantasy,Horror,Western",R,2013,100,English,USA,Roel Reiné,"Shane Kuhn,Brendan Cowles","Danny Trejo,Mickey Rourke,Anthony Michael Hall,Dina Meyer",4.9
52,Trancers II,"6 years after a time cop returns home from battling future alien zombies, his settled life is turned upside down when a mad scientists creates more.","Action,Horror,Sci-Fi",R,1991,88,English,USA,Charles Band,Jackson Barr t,"Tim Thomerson,Helen Hunt,Megan Ward,Biff Manard",5.4
208,Screamers: The Hunting,"A group of humans arrive on Sirius 6-B to investigate an SOS signal sent out from the planet, which has been supposedly deserted since the destruction of the man-made weapons known as ""...","Action,Horror,Sci-Fi,Thriller",R,2009,95,English,Canada,Sheldon Wilson,Philip K. Dick t,"Gina Holden,Jana Pallaske,Lance Henriksen,Greg Bryk",4.7
157,Alien Outpost,A documentary crew follows an elite unit of soldiers in the wake of an alien invasion.,"Action,Sci-Fi,Thriller",Not Rated,2014,90,English,"UK, South Africa",Jabbar Raisani,"Blake Clifton t,Jabbar Raisani","Adrian Paul,Reiley McClendon,Joe Reegan,Brandon Auret",4.8
85,Shadow Conspiracy,"Bishop, trusted advisor to the president, has shots fired at him when Pachenko comes to him about a traitor in highest level of government. He gets away from the cold blooded assassin twice. Will he find the traitor before getting killed?","Action,Thriller",R,1997,103,English,USA,George P. Cosmatos,"Adi Hasak,Ric Gibbs","Charlie Sheen,Donald Sutherland,Linda Hamilton,Stephen Lang",5
89,The Cold Light of Day,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.","Action,Thriller",PG-13,2012,93,"Hebrew, English, Spanish","USA, Spain",Mabrouk El Mechri,"Scott Wiper,John Petro","Henry Cavill,Verónica Echegui,Bruce Willis,Sigourney Weaver",4.9
167,Shoot \'Em Up,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.","Action,Thriller",R,2007,86,"English, Italian",USA,Michael Davis,Michael Davis,"Clive Owen,Paul Giamatti,Monica Bellucci,Stephen McHattie",6.7
450,The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,"Action,Thriller",R,2011,101,Indonesian,"Indonesia, France, USA",Gareth Evans,Gareth Evans,"Iko Uwais,Joe Taslim,Donny Alamsyah,Yayan Ruhian",7.6
576,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","Action,Thriller",R,2016,99,"English, Italian, French, Japanese","UK, Bulgaria, USA",Babak Najafi,Creighton Rothenberger t,"Alon Aboutboul,Waleed Zuaiter,Adel Bencherif,Mehdi Dehbi",5.9
131,OMG... It's the Leaving Las Vegas XXX Parody,,Adult,,2013,242,English,USA,Jordan Septo,,"Anikka Albrite,Tommy Pistol,Evan Stone,Lily Carter",7
223,Not Far from Heaven 3,,Adult,,2004,,English,USA,,,"Buck Adams,Benjamin Brat,Nikita Denise,Natasha Dolling",8.8
322,Cheeky Girls 2,,Adult,X,2005,,English,UK,John Mason,,"Agnes,Didi,Jaana,Katerina",4.4
380,Octopussy 3-D: A XXX Parody,"Plot outlines must be your own original work and you must not copy them from other sites, publications or other copyright sources. Do not include spoilers.",Adult,,2010,,English,USA,J. Lalls,J. Lalls,"Danny Mountain,Audrey Bitoni,Phoenix Marie,Aletta Ocean",5.6
395,Shane's World 40: Scavenger Hunt 4 - Seattle,,Adult,,2007,,,,,,"Paizley Adams,Courtney James,Kacey Jordan,Gianna Michaels",8.8
462,Dirty Girl Gangbang 2,,Adult,,2004,,,,Andrew Ascolta,,"Greg Centauro,Jessica Fiorentino,Gabriel Montoya,Marco Nero",4.4
598,Mandingo Massacre 4,,Adult,X,2012,163,English,USA,Jules Jordan,,"Julia Ann,Amy Brooke,Kagney Linn Karter,Chastity Lynn",6.2
625,Angel of Death 2: The Prison Island Massacre,"Group of villains kidnapped girls for prostitution and forwards them to the island prison, where every day sexually humiliate and torture them in many ways, and sometimes kill them. ...","Adult,Horror",,2007,124,German,Germany,Andreas Bethmann,Andreas Bethmann t,"Lina Romay,Natascha Farrel,Manoush,Thomas Kercmar",4.1
544,Bondage for Friends and Family!,"Bound and gagged real-life sisters are featured in this bondage film, along with vignettes of friends whose relationship becomes too tight for comfort.",Adventure,,2005,49,English,USA,,,"Kim Jefferies,Jamie Ann Martin,Starr Conway,Carolyn Lang",8.8
398,Fathom Premieres 6 Below: Miracle on the Mountain,"An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""","Adventure,Biography,Drama,Sport,Thriller",PG-13,2017,98,English,USA,Scott Waugh,"Madison Turner,Eric LeMarque t","Josh Hartnett,Mira Sorvino,Sarah Dumont,Kale Culley",5.7
228,Identity Thief,Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.,"Adventure,Comedy,Crime,Drama",R,2013,111,"English, Spanish",USA,Seth Gordon,Craig Mazin t,"Jason Bateman,Melissa McCarthy,Jon Favreau,Amanda Peet",5.7
401,8 Heads in a Duffel Bag,"A mob bagman finds that his luggage, containing the proof of his gang's latest hit, has been switched.","Adventure,Comedy,Crime,Mystery",R,1997,95,"English, Spanish","USA, UK",Tom Schulman,Tom Schulman,"Joe Pesci,Andy Comeau,Kristy Swanson,George Hamilton",5.4
237,Kismet Love Paisa Dilli,"Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting ...","Adventure,Comedy,Crime,Romance,Thriller",,2012,129,Hindi,India,Sanjay M. Khanduri,"Sanjay M. Khanduri,Sanjay M. Khanduri,Rishabh Sharma t","Vivek Oberoi,Mallika Sherawat,Neha Dhupia,Anshuman Jha",4.2
134,Josh and S.A.M.,"After their parent's divorce, 12-year-old Josh and 7-year-old Sam decide to go on an underage road trip. Sick of being ferried between their distant mother and remarried father, Josh and his brother steal a car and set out for Canada.","Adventure,Comedy,Drama",PG-13,1993,96,English,USA,Billy Weber,Frank Deese,"Jacob Tierney,Noah Fleiss,Martha Plimpton,Stephen Tobolowsky",5.7
550,Josh and S.A.M.,"After their parent's divorce, 12-year-old Josh and 7-year-old Sam decide to go on an underage road trip. Sick of being ferried between their distant mother and remarried father, Josh and his brother steal a car and set out for Canada.","Adventure,Comedy,Drama",PG-13,1993,96,English,USA,Billy Weber,Frank Deese,"Jacob Tierney,Noah Fleiss,Martha Plimpton,Stephen Tobolowsky",5.7
581,Ten Canoes,"In Australia's Northern Territory, a man tells us a story of his people and his land. It's about an older man, Minygululu, who has three wives and realizes that his younger brother Dayindi may try to steal away the youngest wife.","Adventure,Comedy,Drama",Unrated,2006,90,"Aboriginal, English",Australia,"Rolf de Heer,Peter Djigirr",Rolf de Heer,"Crusoe Kurddal,Jamie Gulpilil,Richard Birrinbirrin,Peter Minygululu",7
611,Fear and Loathing in Las Vegas,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,"Adventure,Comedy,Drama",R,1998,118,English,USA,Terry Gilliam,Hunter S. Thompson t,"Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin",7.6
670,Fast Lane to Malibu,"Two roommates take a roadtrip to Malibu hoping to attend a sorority party. However, their journey is filled with many distractions.","Adventure,Comedy,Drama,Romance",R,2000,86,English,USA,Kelley Cauthen,Leland Zaitz,"Tracy Ryan,Steve Curtis,Renee Rea,Stephen Harvard",5
17,Jack the Giant Slayer,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.","Adventure,Comedy,Family,Fantasy",PG-13,2013,114,English,"UK, USA",Bryan Singer,Darren Lemke t,"Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Stanley Tucci",6.2
629,Revenge of the Zombies,"Scott Warrington and his hired detective, Larry Adams, arrive at an old mansion in the middle of a Louisiana swamp to meet his brother-in-law, Dr. Max von Altermann shortly after the death ...","Adventure,Comedy,Horror,Sci-Fi",APPROVED,1943,61,English,USA,Steve Sekely,Edmond Kelso t,"John Carradine,Gale Storm,Robert Lowery,Bob Steele",4.6
390,Bubble Boy,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.,"Adventure,Comedy,Romance,Sci-Fi",PG-13,2001,84,English,USA,Blair Hayes,"Cinco Paul,Ken Daurio","Jake Gyllenhaal,Swoosie Kurtz,Marley Shelton,Danny Trejo",5.6
391,Back To The Future II,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","Adventure,Comedy,Sci-Fi",PG,1989,108,English,USA,Robert Zemeckis,Robert Zemeckis t,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson",7.8
263,Into the West,"Tales from the American West in the 19th century, told from the perspective of two families, one of white settlers and one of Native Americans.","Adventure,Drama,History,Romance,Western",TV-14,2005,552,"English, Sioux",USA,,,"Joseph M. Marshall,Irene Bedard,Gil Birmingham,John Terry",8.1
460,The Questor Tapes,"Project Questor is the brainchild of the genius Dr. Vaslovik, who developed plans to build an android super-human. Although he has disappeared and half of the programming tape was erased in...","Adventure,Drama,Sci-Fi",,1974,100,English,USA,Richard A. Colla,Gene Roddenberry t,"Robert Foxworth,Mike Farrell,John Vernon,Lew Ayres",6.9
