"tID","mID","cID","tDate","tTime"
"193","330","40","2020-06-12","22:38:00"
"194","325","40","2020-06-26","16:35:00"
"195","56","41","2020-01-28","09:37:00"
"196","76","41","2020-03-29","14:31:00"
"197","166","41","2020-11-29","17:15:00"
"198","564","42","2020-01-25","07:27:00"
"199","517","42","2020-02-03","14:34:00"
"200","493","42","2020-12-11","06:24:00"
"201","424","43","2020-02-09","17:47:00"
"202","92","43","2020-05-04","21:04:00"
"203","85","43","2020-05-31","21:59:00"
"204","347","43","2020-06-08","19:23:00"
"205","305","43","2020-11-01","21:34:00"
"206","35","44","2020-02-05","02:33:00"
"207","59","44","2020-02-14","03:15:00"
"208","563","44","2020-07-31","18:47:00"
"209","69","44","2020-08-27","03:12:00"
"210","591","44","2020-09-30","21:50:00"
"211","153","45","2020-01-29","21:35:00"
"212","466","45","2020-07-20","13:12:00"
"213","25","45","2020-11-30","04:53:00"
"214","205","46","2020-01-06","03:37:00"
"215","404","46","2020-03-04","09:19:00"
"216","338","46","2020-03-23","20:12:00"
"217","481","46","2020-04-24","02:18:00"
"218","121","46","2020-08-11","00:52:00"
"219","343","46","2020-08-16","14:35:00"
"220","336","47","2020-01-03","07:22:00"
"221","340","47","2020-02-20","01:11:00"
"222","341","47","2020-07-19","17:49:00"
"223","40","47","2020-11-12","08:13:00"
"224","257","47","2020-11-14","10:23:00"
"225","352","48","2020-01-13","10:00:00"
"226","270","48","2020-06-18","02:46:00"
"227","172","48","2020-08-05","10:04:00"
"228","295","48","2020-09-29","10:50:00"
"229","181","48","2020-11-07","13:53:00"
"230","41","48","2020-11-14","07:30:00"
"231","576","48","2020-12-28","18:08:00"
"232","288","49","2020-11-02","11:41:00"
"233","561","49","2020-11-28","08:19:00"
"234","390","50","2020-01-05","13:23:00"
"235","413","50","2020-03-06","23:52:00"
"236","465","50","2020-03-18","18:16:00"
"237","15","50","2020-05-10","03:49:00"
"238","29","50","2020-07-24","11:23:00"
"239","533","50","2020-10-02","13:22:00"
"240","342","50","2020-12-05","05:14:00"
"241","234","51","2020-03-20","15:43:00"
"242","275","51","2020-03-30","13:41:00"
"243","402","51","2020-05-29","00:54:00"
"244","433","51","2020-10-10","02:44:00"
"245","526","51","2020-10-16","10:57:00"
"246","497","51","2020-11-24","01:37:00"
"247","504","52","2020-01-27","14:06:00"
"248","517","52","2020-01-28","09:38:00"
"249","347","52","2020-08-25","13:48:00"
"250","583","53","2020-01-05","16:03:00"
"251","335","53","2020-04-27","03:19:00"
"252","318","53","2020-05-17","02:27:00"
"253","239","53","2020-07-27","18:06:00"
"254","85","54","2020-03-08","14:13:00"
"255","92","54","2020-06-14","12:57:00"
"256","403","54","2020-08-21","01:13:00"
"257","116","54","2020-08-21","09:00:00"
"258","238","54","2020-12-06","23:11:00"
"259","365","55","2020-03-19","18:10:00"
"260","69","56","2020-05-03","16:31:00"
"261","80","56","2020-06-24","14:10:00"
"262","294","56","2020-06-29","23:59:00"
"263","6","56","2020-09-20","09:57:00"
"264","20","56","2020-11-12","20:39:00"
"265","425","57","2020-04-23","03:26:00"
"266","70","57","2020-05-19","06:42:00"
"267","295","57","2020-06-26","03:43:00"
"268","427","57","2020-06-28","01:54:00"
"269","47","57","2020-07-06","04:29:00"
"270","11","57","2020-08-22","11:13:00"
"271","450","57","2020-09-02","14:12:00"
"272","74","57","2020-12-02","12:27:00"
"273","159","57","2020-12-27","21:39:00"
"274","8","58","2020-05-22","05:48:00"
"275","531","58","2020-08-12","01:01:00"
"276","96","58","2020-11-12","03:56:00"
"277","559","59","2020-01-12","15:32:00"
"278","573","59","2020-01-26","05:41:00"
"279","73","59","2020-02-23","11:10:00"
"280","338","59","2020-06-21","15:19:00"
"281","146","59","2020-08-01","03:08:00"
"282","404","59","2020-08-18","13:12:00"
"283","81","59","2020-08-24","03:26:00"
"284","252","60","2020-05-10","05:19:00"
"285","276","60","2020-07-06","07:06:00"
"286","256","60","2020-08-01","04:55:00"
"287","405","60","2020-09-16","05:20:00"
"288","504","60","2020-11-13","10:11:00"
"289","410","60","2020-11-26","12:27:00"
"290","66","61","2020-01-18","09:45:00"
"291","355","61","2020-04-12","01:11:00"
"292","104","61","2020-04-20","13:02:00"
"293","456","61","2020-05-23","00:54:00"
"294","448","61","2020-06-20","12:42:00"
"295","292","61","2020-06-23","11:17:00"
"296","163","62","2020-06-23","11:31:00"
"297","27","62","2020-07-15","22:43:00"
"298","4","62","2020-08-23","12:05:00"
"299","508","62","2020-11-24","22:44:00"
"300","250","62","2020-11-27","19:47:00"
"301","323","62","2020-12-17","14:12:00"
"302","110","63","2020-06-17","23:08:00"
"303","293","63","2020-08-13","18:50:00"
"304","178","63","2020-10-11","11:50:00"
"305","368","63","2020-11-29","17:48:00"
"306","95","64","2020-02-06","04:55:00"
"307","194","64","2020-04-13","19:10:00"
"308","206","64","2020-06-09","18:33:00"
"309","60","65","2020-01-06","04:47:00"
"310","198","65","2020-03-02","10:43:00"
"311","301","65","2020-04-03","22:00:00"
"312","293","65","2020-04-25","12:58:00"
"313","277","65","2020-07-20","01:54:00"
"314","422","65","2020-07-21","22:20:00"
"315","274","65","2020-07-26","22:14:00"
"316","321","65","2020-08-11","14:05:00"
"317","181","65","2020-09-06","07:50:00"
"318","34","65","2020-11-07","12:01:00"
"319","190","65","2020-11-13","11:41:00"
"320","23","65","2020-11-27","14:27:00"
"321","490","65","2020-12-27","19:55:00"
"322","411","66","2020-02-06","14:07:00"
"323","272","66","2020-08-21","16:08:00"
"324","143","66","2020-11-07","03:38:00"
"325","196","66","2020-11-15","05:29:00"
"326","78","67","2020-01-13","00:27:00"
"327","74","67","2020-02-16","23:25:00"
"328","544","67","2020-07-01","07:45:00"
"329","159","67","2020-07-15","22:02:00"
"330","401","67","2020-07-21","08:58:00"
"331","237","67","2020-10-25","08:16:00"
"332","123","67","2020-12-22","05:18:00"
"333","311","68","2020-02-14","01:18:00"
"334","503","68","2020-02-24","15:47:00"
"335","185","68","2020-02-27","11:30:00"
"336","310","68","2020-08-30","23:46:00"
"337","531","68","2020-11-07","16:32:00"
"338","96","68","2020-12-28","02:17:00"
"339","58","69","2020-10-29","08:40:00"
"340","81","69","2020-11-23","16:17:00"
"341","165","69","2020-12-27","23:47:00"
"342","205","69","2020-12-28","20:40:00"
"343","139","70","2020-07-10","11:30:00"
"344","164","70","2020-11-19","07:14:00"
"345","282","70","2020-11-25","07:17:00"
"346","204","70","2020-12-18","12:10:00"
"347","394","71","2020-01-05","00:44:00"
"348","303","71","2020-01-14","23:03:00"
"349","373","71","2020-04-17","12:05:00"
"350","465","71","2020-04-23","21:56:00"
"351","192","71","2020-06-01","19:05:00"
"352","312","71","2020-08-01","19:50:00"
"353","570","71","2020-08-28","16:08:00"
"354","600","71","2020-11-13","11:35:00"
"355","6","71","2020-11-25","21:12:00"
"356","379","72","2020-01-21","00:34:00"
"357","433","72","2020-03-09","11:14:00"
"358","108","72","2020-04-28","15:04:00"
"359","84","72","2020-05-23","18:13:00"
"360","81","72","2020-06-04","17:06:00"
"361","48","72","2020-06-28","13:00:00"
"362","338","72","2020-09-20","01:05:00"
"363","348","72","2020-10-02","16:00:00"
"364","374","72","2020-11-16","09:30:00"
"365","157","73","2020-11-30","01:03:00"
"366","303","73","2020-12-15","18:32:00"
"367","11","73","2020-12-25","01:20:00"
"368","41","74","2020-01-25","20:09:00"
"369","212","74","2020-03-12","08:28:00"
"370","600","74","2020-03-28","09:31:00"
"371","120","74","2020-04-03","10:51:00"
"372","92","74","2020-05-25","17:48:00"
"373","93","74","2020-10-13","07:10:00"
"374","73","75","2020-08-06","14:27:00"
"375","351","75","2020-10-04","23:45:00"
"376","499","75","2020-11-12","18:33:00"
"377","333","76","2020-01-23","20:21:00"
"378","143","76","2020-04-19","01:31:00"
"379","25","76","2020-05-14","17:57:00"
"380","258","76","2020-05-23","07:05:00"
"381","77","76","2020-09-05","17:07:00"
"382","346","77","2020-03-17","16:44:00"
"383","365","77","2020-09-08","09:33:00"
"384","316","77","2020-11-15","08:47:00"
"385","376","77","2020-12-06","21:23:00"
"386","480","78","2020-02-05","06:08:00"
"387","584","78","2020-09-24","00:06:00"
"388","13","79","2020-05-10","03:08:00"
"389","225","79","2020-07-30","20:46:00"
"390","103","79","2020-08-22","02:58:00"
"391","403","79","2020-08-28","14:13:00"
"392","25","79","2020-09-26","22:24:00"
"393","291","80","2020-02-22","17:05:00"
"394","259","80","2020-02-26","01:51:00"
"395","102","80","2020-05-02","00:16:00"
"396","109","80","2020-11-02","05:01:00"
"397","340","81","2020-01-22","11:17:00"
"398","548","81","2020-01-22","13:52:00"
"399","73","81","2020-11-15","06:33:00"
"400","204","81","2020-12-19","08:40:00"
"401","131","82","2020-01-07","09:07:00"
"402","442","82","2020-01-23","16:32:00"
"403","466","82","2020-04-01","14:35:00"
"404","36","82","2020-10-15","11:38:00"
"405","33","83","2020-02-12","04:48:00"
"406","209","83","2020-03-19","22:42:00"
"407","124","83","2020-11-02","17:56:00"
"408","494","83","2020-11-18","22:51:00"
"409","191","84","2020-02-07","14:57:00"
"410","550","84","2020-02-14","03:24:00"
"411","599","84","2020-04-19","06:11:00"
"412","308","84","2020-08-30","22:28:00"
"413","488","85","2020-01-20","08:48:00"
"414","334","85","2020-02-03","16:28:00"
"415","332","85","2020-02-05","15:19:00"
"416","344","85","2020-04-06","16:38:00"
"417","312","85","2020-06-11","05:01:00"
"418","13","85","2020-06-13","11:58:00"
"419","101","85","2020-09-20","03:10:00"
"420","264","85","2020-12-27","14:29:00"
"421","61","86","2020-01-29","04:11:00"
"422","332","86","2020-06-19","16:11:00"
"423","46","86","2020-09-30","22:11:00"
"424","69","86","2020-11-08","17:00:00"
"425","283","86","2020-11-26","17:14:00"
"426","459","87","2020-02-20","15:20:00"
"427","32","87","2020-04-01","07:12:00"
"428","314","87","2020-06-12","19:38:00"
"429","65","87","2020-09-17","18:19:00"
"430","569","87","2020-10-30","18:18:00"
"431","496","88","2020-01-06","18:06:00"
"432","504","88","2020-02-10","07:02:00"
"433","34","88","2020-07-29","01:11:00"
"434","350","88","2020-08-28","17:49:00"
"435","301","88","2020-09-10","04:23:00"
"436","493","88","2020-09-14","08:24:00"
"437","245","88","2020-09-30","06:34:00"
"438","138","89","2020-01-04","01:21:00"
"439","176","89","2020-04-15","04:22:00"
"440","597","90","2020-01-31","04:45:00"
"441","36","90","2020-04-11","02:10:00"
"442","22","90","2020-06-12","02:04:00"
"443","176","90","2020-07-19","19:38:00"
"444","138","90","2020-08-20","12:16:00"
"445","35","90","2020-12-05","15:06:00"
"446","181","91","2020-04-12","10:43:00"
"447","479","91","2020-07-06","03:56:00"
"448","457","91","2020-07-30","07:30:00"
"449","182","92","2020-01-05","03:37:00"
"450","255","92","2020-02-23","21:13:00"
"451","16","92","2020-07-31","04:16:00"
"452","526","92","2020-08-21","08:03:00"
"453","214","92","2020-08-21","22:10:00"
"454","330","92","2020-09-14","11:47:00"
"455","330","92","2020-09-14","12:35:00"
"456","103","92","2020-12-22","02:56:00"
"457","385","92","2020-12-29","12:34:00"
"458","168","93","2020-01-05","01:28:00"
"459","321","93","2020-01-07","11:40:00"
"460","13","93","2020-01-19","03:44:00"
"461","600","93","2020-01-20","07:35:00"
"462","329","93","2020-02-08","10:53:00"
"463","277","93","2020-05-04","19:58:00"
"464","226","93","2020-06-07","05:48:00"
"465","533","93","2020-07-12","12:59:00"
"466","307","93","2020-07-21","01:16:00"
"467","547","93","2020-11-11","19:35:00"
"468","100","93","2020-11-11","22:10:00"
"469","307","93","2020-12-25","19:53:00"
"470","200","94","2020-04-04","13:18:00"
"471","338","94","2020-05-27","00:13:00"
"472","327","94","2020-06-03","08:48:00"
"473","201","94","2020-06-11","12:19:00"
"474","340","94","2020-08-06","00:26:00"
"475","348","94","2020-08-11","16:21:00"
"476","343","94","2020-09-11","07:54:00"
"477","562","94","2020-11-03","07:40:00"
"478","73","94","2020-11-29","01:36:00"
"479","502","95","2020-02-14","01:31:00"
"480","538","95","2020-08-01","12:23:00"
"481","130","95","2020-10-28","09:20:00"
"482","440","95","2020-12-13","13:58:00"
"483","128","96","2020-05-19","07:44:00"
"484","526","97","2020-03-17","10:24:00"
"485","430","97","2020-03-19","16:04:00"
"486","255","97","2020-04-27","19:14:00"
"487","386","97","2020-04-28","04:34:00"
"488","80","97","2020-06-13","20:25:00"
"489","119","97","2020-07-30","01:13:00"
"490","409","97","2020-08-01","06:23:00"
"491","64","98","2020-01-11","07:15:00"
"492","180","98","2020-02-17","18:13:00"
"493","195","98","2020-02-25","23:44:00"
"494","257","98","2020-02-28","11:13:00"
"495","310","98","2020-09-07","08:43:00"
"496","445","99","2020-01-14","00:02:00"
"497","458","99","2020-01-14","23:48:00"
"498","461","99","2020-05-08","11:04:00"
"499","572","99","2020-08-11","15:49:00"
"500","564","99","2020-08-19","08:33:00"
"501","581","99","2020-12-03","16:03:00"
"502","181","100","2020-06-24","04:19:00"
"503","306","100","2020-08-02","09:51:00"
"504","457","100","2020-12-08","12:38:00"
"505","53","101","2020-01-21","07:04:00"
"506","237","101","2020-04-22","23:39:00"
"507","26","101","2020-06-25","15:42:00"
"508","16","101","2020-08-18","17:46:00"
"509","414","101","2020-11-16","00:04:00"
"510","9","102","2020-03-19","23:07:00"
"511","311","102","2020-04-08","09:18:00"
"512","338","102","2020-05-29","15:41:00"
"513","190","102","2020-12-24","10:19:00"
"514","56","103","2020-04-18","20:36:00"
"515","370","103","2020-07-18","22:35:00"
"516","499","103","2020-09-19","09:32:00"
"517","36","104","2020-01-03","21:55:00"
"518","92","104","2020-01-14","09:00:00"
"519","323","104","2020-01-26","14:24:00"
"520","492","104","2020-01-29","10:20:00"
"521","513","104","2020-02-01","16:36:00"
"522","129","104","2020-02-11","21:21:00"
"523","586","104","2020-02-23","23:15:00"
"524","556","104","2020-04-12","17:48:00"
"525","544","104","2020-08-28","07:12:00"
"526","61","104","2020-10-06","01:02:00"
"527","218","104","2020-11-07","05:01:00"
"528","125","104","2020-12-21","18:36:00"
"529","41","105","2020-01-05","14:03:00"
"530","25","105","2020-03-05","05:27:00"
"531","47","105","2020-03-08","03:36:00"
"532","197","105","2020-04-26","17:47:00"
"533","455","105","2020-08-19","21:24:00"
"534","69","105","2020-08-22","18:17:00"
"535","283","105","2020-09-05","17:28:00"
"536","503","106","2020-01-25","22:44:00"
"537","522","106","2020-07-31","02:25:00"
"538","255","107","2020-06-17","16:03:00"
"539","286","107","2020-10-18","05:31:00"
"540","493","108","2020-05-21","16:40:00"
"541","506","108","2020-07-21","23:54:00"
"542","517","108","2020-11-19","16:21:00"
"543","536","108","2020-12-06","04:08:00"
"544","319","109","2020-02-01","15:26:00"
"545","337","109","2020-02-02","05:23:00"
"546","556","109","2020-04-23","20:57:00"
"547","91","109","2020-06-05","21:46:00"
"548","478","109","2020-07-02","14:30:00"
"549","91","109","2020-07-25","13:50:00"
"550","166","109","2020-08-20","09:58:00"
"551","301","109","2020-12-01","19:33:00"
"552","138","110","2020-07-18","18:29:00"
"553","256","110","2020-11-02","15:44:00"
"554","176","110","2020-11-14","17:31:00"
"555","138","110","2020-11-20","21:57:00"
"556","405","111","2020-01-25","22:31:00"
"557","518","111","2020-01-31","14:39:00"
"558","293","111","2020-03-29","09:04:00"
"559","86","111","2020-04-21","19:32:00"
"560","87","111","2020-11-18","19:39:00"
"561","139","112","2020-01-10","12:36:00"
"562","260","112","2020-08-03","20:58:00"
"563","272","112","2020-10-05","14:45:00"
"564","532","113","2020-02-08","16:01:00"
"565","319","113","2020-04-02","23:49:00"
"566","586","113","2020-04-03","13:55:00"
"567","536","113","2020-04-09","01:28:00"
"568","280","113","2020-05-19","14:23:00"
"569","337","113","2020-05-31","16:37:00"
"570","355","113","2020-07-28","14:39:00"
"571","437","113","2020-07-31","03:58:00"
"572","445","113","2020-12-02","08:33:00"
"573","175","114","2020-01-14","17:07:00"
"574","357","114","2020-02-15","05:58:00"
"575","421","114","2020-03-30","13:53:00"
"576","529","114","2020-06-17","00:47:00"
"577","555","114","2020-10-08","23:47:00"
"578","573","114","2020-10-24","03:13:00"
"579","117","114","2020-11-10","17:01:00"
"580","354","115","2020-06-07","18:31:00"
"581","107","116","2020-04-01","21:03:00"
"582","282","116","2020-04-02","15:22:00"
"583","591","116","2020-05-02","05:13:00"
"584","153","116","2020-09-27","18:32:00"
"585","555","116","2020-12-21","14:58:00"
"586","202","117","2020-04-22","22:45:00"
"587","558","117","2020-05-07","04:08:00"
"588","580","117","2020-07-01","01:59:00"
"589","219","117","2020-08-10","08:19:00"
"590","405","117","2020-08-11","23:18:00"
"591","412","117","2020-08-29","17:31:00"
"592","345","117","2020-11-26","13:33:00"
"593","306","118","2020-01-19","03:23:00"
"594","181","118","2020-07-31","11:14:00"
"595","315","119","2020-02-03","08:37:00"
"596","479","119","2020-07-29","22:12:00"
"597","266","119","2020-09-03","23:55:00"
"598","11","119","2020-10-09","08:13:00"
"599","262","119","2020-10-24","11:08:00"
"600","191","119","2020-10-30","16:09:00"
"601","8","119","2020-11-02","18:59:00"
"602","416","119","2020-11-15","05:42:00"
"603","57","119","2020-11-17","03:42:00"
"604","177","119","2020-12-15","14:56:00"
"605","192","120","2020-01-14","23:46:00"
"606","312","120","2020-01-18","11:48:00"
"607","25","120","2020-08-26","14:02:00"
"608","446","120","2020-09-01","18:28:00"
"609","47","120","2020-10-21","04:26:00"
"610","217","120","2020-12-06","19:30:00"
"611","291","121","2020-05-02","20:51:00"
"612","29","121","2020-05-07","17:38:00"
"613","15","121","2020-06-20","00:08:00"
"614","389","121","2020-07-05","02:38:00"
"615","502","121","2020-09-20","05:46:00"
"616","538","121","2020-11-19","02:17:00"
"617","410","121","2020-12-26","05:52:00"
"618","389","122","2020-02-04","06:59:00"
"619","400","122","2020-04-07","10:32:00"
"620","463","122","2020-05-12","06:12:00"
"621","332","122","2020-08-04","15:36:00"
"622","522","123","2020-05-27","05:23:00"
"623","75","124","2020-03-29","23:52:00"
"624","43","124","2020-04-16","03:02:00"
"625","99","124","2020-11-12","05:11:00"
"626","53","124","2020-11-12","09:27:00"
"627","42","125","2020-03-17","10:31:00"
"628","304","125","2020-05-29","09:49:00"
"629","456","125","2020-09-02","05:29:00"
"630","190","125","2020-11-22","00:42:00"
"631","23","126","2020-02-03","13:21:00"
"632","108","126","2020-04-03","03:40:00"
"633","333","126","2020-05-22","02:09:00"
"634","62","126","2020-10-26","05:05:00"
"635","339","126","2020-11-01","10:29:00"
"636","513","126","2020-12-30","01:39:00"
"637","133","127","2020-07-20","05:15:00"
"638","344","127","2020-12-20","14:06:00"
"639","102","128","2020-06-01","03:58:00"
"640","198","128","2020-07-23","11:49:00"
"641","137","128","2020-08-17","04:25:00"
"642","427","128","2020-11-06","04:34:00"
"643","316","128","2020-11-22","22:40:00"
"644","493","129","2020-04-04","09:35:00"
"645","517","129","2020-10-17","17:55:00"
"646","240","130","2020-03-10","18:14:00"
"647","461","130","2020-05-24","17:52:00"
"648","280","130","2020-05-25","08:56:00"
"649","18","130","2020-05-27","18:04:00"
"650","564","130","2020-07-14","18:19:00"
"651","322","130","2020-11-26","15:40:00"
"652","333","131","2020-05-02","22:10:00"
"653","3","131","2020-06-08","23:19:00"
"654","31","131","2020-07-11","12:00:00"
"655","85","131","2020-08-01","04:09:00"
"656","170","131","2020-09-10","06:00:00"
"657","310","132","2020-01-24","04:50:00"
"658","14","132","2020-08-21","06:50:00"
"659","35","133","2020-10-10","08:07:00"
"660","58","134","2020-01-03","13:42:00"
"661","60","134","2020-01-04","15:23:00"
"662","290","134","2020-01-11","11:10:00"
"663","331","134","2020-06-14","19:58:00"
"664","226","135","2020-01-25","06:21:00"
