"mID","cID","rTitle","rBody","rRating"
12,2,Excellently brooding and moody piece of work on Russia during the latter stages of Perestroika.,"Besides this, I have only seen one movie by Pavel Lungin, namely Luna-park, which also comes off highly recommended.  Taxi Blues is an excellent work all in itself.  Lungin very well transcends the chaotic atmosphere in Russia during the late Perestroika period, and prior to the break-up of the Soviet Union itself.  The tumultous relationship between two main characters represents bipolar parts of the Russian society, and shows degradation of the social fabric.  Piotr Mamonov (who is also the leader of the well-known Moscow rock-band Zvuki Moo) turns in an impressive performance as Lyosha - a westernized, alcoholic Jewish mucisian. The rest of the characters are equally picturesqe, be it the strong willed, conservative, nationalistic taxi driver, or his neighbor, an old man of the Stalinist generation. The film's unsettling pacing and incessant moodswings further contribute to the overall picture. An excellent film from one of Russia's leading directors.",10
12,6,A patriotic cabbie tries to change a lazy alcoholic Jew.,"This film shows the conflict and forming of a friendship between two opposites: Shlykov, the hard-working patriotic cab driver built like a tank, and Lyosha, the thin, panhandling urban Jew.A taxi driver in Moscow named Shlykov gets stiffed of his fare by the Jewish saxophone player named Lyosha who calls himself a genius who ""speaks to God"". Shlykov tracks down Lyosha and takes his saxophone and that is when the fun begins.Lyosha fails to make money fast enough to pay Shlykov back but Shlykov decides to give him back his saxophone anyways. Lyosha, sensing Shlykov's soft heart, tries to further take advantage of him by begging him for money. After Shlykov lets Lyosha in his apartment, and after Lyosha causes him great trouble costing him even more money, Shlykov takes Lyosha to jail.After a violent outburst by Shlykov he decides to go back to the police station to drop the charges against Lyosha. He has decided that sending Lyosha to jail would accomplish nothing. He wants to show Lyosha what life is like for honest hard-working people. Shlykov makes Lyosha come to work with him. The ""intellectual"" breaks down when forced to do what millions of other people in the country have to do everyday of their lives. Both characters show impulsive and unpredictable behaviour, but for different reason. Lyosha is simply a drunk. Shlykov is a patriotic ex-athlete full of proletariat angst and senses his nation is dying because of the ""rotten"" westernized hooligans he sees everywhere in the streets who lack any work ethic.I will not reveal the ending to you but I will tell you this story is not a fairy tale.I think this film goes much deeper than just showing what life was like in the USSR; the two characters can be found in almost every culture in the world today.Excellent performances by both Zajchenko and Mamonov.",9
13,1,Screwball at it's best,"Burns and Allen who usually were in support of other stars got to carry this one by themselves. It is a laugh riot from start to finish. Trying to keep his normal daughter, Betty Furness from marrying a gigolo, George Barbier turns over his fortune to his other dimwitted daughter, Gracie Allen. What follows is one madcap situation after another as Gracie turns their home into a hotel for unemployed actors and then decided to produce her own show.As good as Gracie is, mention must be made of George Barbier. A fine character actor who played fathers, his blustering reactions to Gracie's schemes are worth seeing the movie in and of themselves.",9
13,2,A Historical Treasure,"The plot is thin but the casting is stuffed with major faces from the heydey of Vaudeville.  For most of these performers, uncredited as they were, this is the only recording of parts of their act.  Enjoy the silliness and pretend you're at Minsky's.",10
13,8,a pleasant and occasionally very amusing Gracie Allen movie,"The plot is thin, the premise even thinner. However, Grace Allen is her usual ebullient self, somehow even in her ""dimwittedness"" suggesting that some shrewd insights lie beneath the surface, and that everyone else is only a fall guy. The scenes with father and sister are sometimes extremely amusing, but the primary distinctive feature of the film is that it gives the viewer the opportunity to see many of the old vaudeville acts in their pristine form, as Gracie the heiress opens her home to the out of work performers. Probably these were performers who appeared in vaudeville with Burns and Allen themselves.",7
13,5,It's actually a Barbier and Allen vehicle!,"Although billed as a Burns and Allen vehicle, it's actually George Barbier who has the main role and carries the weight of the comedy in this enjoyable, well-produced ""B"" movie. Not that I'm complaining. Barbier is not only more than equal to the task, he carries off more laughs than the dithery Miss Allenwho is delightfully partnered here not only by Barbier but by Andrew Tombes who makes the most of one of his largest and most ingratiating roles ever. George Burns has only a small role and seems to have been included in the cast simply to serve as an occasional butt for why-don't-you-marry-Gracie jokes.Other players who register more strongly than Mr Burns include Betty Furness (as the daughter who comes to her senses), Rafael Storm (as the money hound), James Burke (as the fake swami), Syd Saylor (a credulous taxi-driver), and Harry Holman (a disillusioned crony).As for the twelve (count them) vaudeville headline acts announced in the credit titles, we see only two (three if you count the fact that drummer Jack Powell is handed two bites), although five or six others flit by in the background.",7
14,1,A wonderfully imaginative movie,"Ignore the negative rabble expressed above. Rent the movie, and I think you'll be pleasantly surprised. ""Joe's Apartment"" has more creativity and originality in it than most of the films I've seen in 1999. Great concept, great animation/set designs, great fun.",10
14,3,Funny and well shot,"I was quite surprised when I saw the mark given by the IMDb users to this film. Indeed, even though it's not the best movie of the century, I found it quite entertaining and ""fresh"".I loved the way it is shot, there is a real work on the layouts that makes Joe's apartment look dirty and moving at the same time. Besides, the visual effects are well done for a film that dates back to 1996. They are not THAT impressive but they are very efficient to create the funny atmosphere. I could not describe the way I laughed rolling on the floor when I saw those roaches watching an ""insect porn movie"", it cracked me up.This movie is worth seeing for sure and does not deserve such a mark. Everyone who's curious should watch it to make his/her own opinion and should not pay attention to the five miserable stars given to the film.",8
14,4,Pretty original black humor comedy,"I've seen this many years ago when it just came out and now decided to watch it again. I remember it was pretty funny but then I was maybe 7 years old so now I was expecting this film to be stupid. I was surprised how clever this film was. The humor was sometimes stupid but in a good way. It also was kinda original humor sometimes. Jerry O'Connell played a naive new arrival to New York very well. It was so funny when I first saw his naive physiognomy just before he got robed. Jerry O'Connell is a really good comical actor. I also liked that Walter Sh!t character (played by Jim Turner), actually he was the reason why this comedy appeared original to me. It's also a half musical so there were few songs performed by Cockroaches, it was pretty clever made.",10
14,2,Totally off the wall creative genius,"I had never heard of this movie before my 16 year-old son rented the video. It is hilarious. Think of ""Babe"" as produced by the Marx Brothers, using singing cockroaches instead of mice . Evidently the critics didn't like it much, and I can see how they might not see it as high art, but as entertainment and an enjoyable time in fantasy land, it right up there with the best of them, in my opinion.",9
16,2,Only for Mischa Barton fans,"The talented and beautiful Mischa Barton is a good actress well above the usual CW standard. She deserves to make it big on the silver screen. However she seems to be doing a lot of bad b movies recently especially badly written horror movies. This movie was interminable, unpleasant, not very scary and overall a waste of time. Set in a gloomy building set for demolition, Mischa plays a demolition expert sent to assess the building and she encounters an even gloomier cast of characters there. The pace is glacial and the situations are just boring. Cameron Bright of the Twilight sequels isn't quite enough to carry the movie as supporting cast either.Unfortunately even as a fan of Mischa, it was a struggle to finish this boring dud.",2
16,1,Pa-the-tic,"PA-THE-TIC If you find boredom scary then 'Walled In' is truly terrifying.I'm not sure what the producers' plan was to take an incoherent story, really bad acting, really really bad production quality and mixing them together.The plot: A small town's (the typical horror movie small where cell phones and the internet don't work per horror movie criteria) factory and only source of employment closes down and leaves a 10 story apartment building standing in the middle of nowhere. A serial killer begins picking off the residents and entombing them into the building.15 or so years after the murders Sam Walczak (Get it!) your typical female, recent college grad, demolitions expert is sent to demolish the almost abandoned building.""Almost"" as there are still people living there. Sam even decides to stay in one of the apartments. Of course it is never explained why a 10 story rotting building with only a few squatters and set to be demolished still has working utilities.So what scary things happen to Sam? Nothing! And no the squatters don't turn out to be the ghosts of the victims. It's just plain boring.I cannot think of a single reason to see 'Walled In.'",1
16,9,"Yeah, I felt a little walled in myself","Walled In is the kind of horror film that sets itself up in a bizarre location and then explains all kinds of bizarre rules to make the scariness work. The movie opens with a series of headlines that explain the terrible discovery of 16 bodies cemented into the walls of a building, including that of the architect who designed it. We learn that the person who walled them in, Joseph Malestrazza, was never caught, and then we cut to 15 years later, when the building is planned to be demolished.Mischa Barton stars as Samantha, a young member of the demolition company family, perfectly named the Walczak's (the 'c' is silent). She recently graduated from engineering school and it becomes her first lone assignment to visit the building and supervise its demolition. It's a perfect set-up for a horror movie, I suppose, although as soon as we get to the building, the one where the 16 bodies were discovered, you remember, and learn that the wife and son of the murdered architect are still living there, the movie takes a pretty serious turn for the worse. I would think that if a man suffered the terrible fate of being murdered and cemented into the walls of a building, his wife would take it upon herself not to raise their son for his entire life in that building. But that's me.Upon her arrival we meet the woman living there and her creepy son, who explains things to Samantha that the lights go off every six minutes to conserve energy, she shouldn't go to the 8th floor (that's Malestrazza's quarters, you see, and it's never cleaned), and whatever you do don't go on the roof! I would think that someone planning the demolition of a building would explain the logical deficiency of avoiding certain parts of it, but we understand that this is a horror movie and these goofy rules he's explaining are a set-up for freaky sequences that are to follow. There's also the issue of a few remaining people who lived in the building and who are not likely to appreciate Sam arriving to destroy it. The young boy also worries that Malestrazza will be offended by her plans.I was reminded of the brilliant novel House of Leaves in a lot of things about the movie. Sam discovers enormous discrepancies between the blueprints and the actual measurements of the house, which in that book led to a fascinating and frightening series of events, but in the movie leads to the cheap and utterly witless third act. There is also a lot of throwbacks to Psycho in the relationship between the young boy and his mother in an isolated location. Sam even describes the building as being ""like the Bates Motel, only bigger,"" and at one point the mother forbids her son to go near Sam, telling him that Sa could never take care of him the way she does. Creepy.Ultimately we learn about an ""ancient architectural belief"" that provides the reason that Malestrazza killed people and walled them into his buildings (and also the reason why not one of the 27 buildings that Malestrazza built have ever been torn down). It gives the movie the feel of something with more thought in it that it actually has. I felt a little flicker of interest when this was revealed, but in retrospect it strikes me as little more than a screenwriters brainstorm. I understand that Walled In is based on a novel, and I hope the novel is better than the movie. Books, especially horror books, are always better than the movie, ad if someone read the book and thought it was good enough to make into a film, it must have been better than this movie, because it has all the sign-posts of a weak horror film. It's full to the brim with cheap scares (notice the Screeching Cat Scare, which at least was made a little bit different but essentially is the same old thing, and my favorite, a scary rose scare. You have to see that one to believe it) and blatantly rips off a whole series of other horror movies. I'm curious what the movie would have looked like had director Gilles Paquet-Brenner never seen Psycho, Texas Chainsaw, and the Nightmare on Elm Street films. He even uses that ""One, Two, Freddy's Coming For You"" song several times. Real creative there, buddy.I won't go into the details of the end of the film partly because I don't want to ruin it for you but mostly because it's so dumb that I don't want to bother spending my time explaining it. I will tell you one thing though. There's a particularly amusing scene where the boy accuses Samantha of thinking that he's nothing but a ""crazy little boy."" You gotta see this scene, man, it's hilarious. At the time that he says that to her, I won't tell you what he happens to be doing, but when you make a statement like that, it's generally not a good time to be acting like a crazy little boy. What follows that scene is a third act that is not entirely without effect, but definitely one of the dumbest situations that I've seen in a horror movie in some years. It is so bizarre and makes so little sense that the movie almost becomes a mystery. Another mystery is why the thing got made in the first place, but sadly, after seeing the movie, I don't think I'm every going to be able to bring myself to read the book",4
16,7,"Could Have Been a Good Movie, but...","I had high hopes for this movie after seeing the trailer. This could have been a good movie, but... The production team seemed to have run out of money, and then had to wrap it up really fast half way through, causing a hasty and staggering series of quick shots with ""one-take"" scenes. This, obviously, made the actors look bad and that's a shame. They did a good job at the beginning of the film. The first 20-30 minutes of the movie is actually pretty good, but I'll save you the time by saying that it went downhill FAST. I'll give you perspective that the budget of a film means nothing to me. Sure, I love the special effects that make the big-budget films soar and help tell the story, but I like the low-budget, indie films just as well, provided it tells a good story. This film has neither. When they started to rush, they lost the viewer by getting off track, and seemingly changing the actual story line, making it confusing, wobbly-paced, and completely destroying the story. Not intense, not scary, not interesting. Save your time and enjoy a good indie thriller or a big-budget film that you've yet to see.",3
23,8,Bravo,"I seldom watch Myanmar Movies as Myanmar celebrities seems either poorly or overacting; plots are simple, predictable and unreasonable. But as this movie became a success, I thought I should taste the movie as well. Well, found out that the editing and filming are superb and the actor Zenn Kyi seems a bit natural than today's era Myanmar actors. All in all, I can say this movie met my expectation and takes the cake in Myanmar movie industry. Bravo to the director Christina Kyi.",8
23,3,Very Good,This movie is very popular in myanmar because some people are destoried this movie that are not good and also experince director are envious Director Of deception.I am very sorry for her.She is the new director and most people like this movie.,10
23,5,Changing of Myanmar Movie Industry Tradition,""" Deception "" , This movie have a lot of difficulties to release in Theater because this movie doesn't feature with famous actor expect Actress Thet Mon Myint , The director is also had a difficult to show her talent on public . When it was permitted to release , it was not release in all theater , it was only release in selected Theater .But this movie become hot topic in myanmar movie viewer after first week of release . Now it is running successfully , now it is 3 week in a row in Major JCGV Cinema Group .
Congratulation Deception Team",10
23,1,"It's a better movie, yet it's okay.","I don't like long review, so, I'm going to make it short.
Firstly, most of the Myanmar/Burmese movies are so boring as almost all movies are dramas. So, it's so boring.
Secondly, the actors and actresses are very bad. Most of actors aren't good at acting. When I watch Myanmar movies, I can feel that they are acting, not happening naturally. You know what I mean. So, I think I don't need to explain it more.
So, here's my rating and review part.
As it is a drama, the first 30 mins (approximately) is so boring. They are building the plot, and it's turning into drama, so, very boring. I give it a star only.
The story is quite simple and predictable. So, it's a star.
As I've stated in the above, the Myanmar/Burmese actors are very bad at acting. When I watch them act, I can always feel they are acting and the movie is a movie. When actors and actresses are very good, it's like you are seeing whatever happens in the movie in front of you. It will not give the feeling of watching a movie. The actors and actresses can't be compared with American actors, yet, they improved a lot. Yet, I still feel that they are acting. So, I'll just give a star for that reason.
Although the movie isn't that much good or great, whatever you have on your mind, the cinematography is pretty good. So, two stars for it.
So, all in all, it doesn't deserve to have 10 stars from me yet. They still needs to improve not only their actings but also the quality that requires for a movie to become a really great one.",5
25,5,"Weird, Wonderful, Sexy Elektra","This movie, several steps up from ""Women In Trouble"" in terms of consistency, further evolves the weird, wonderful and sexy world of the title character. Carla Gugino is so winning as this confused but sometimes wise former lady of porn that it makes you wonder what movies would be like if she got more leading parts. Returning from the first one are the awesome duo of Adrienne Palicki and Emmanuelle Chriqui, who are maybe the most moving part of the story. Joseph Gordon Levitt is hilarious in it too and Malin Akerman, who I wasn't all that keen on from ""Watchmen"", actually proves she's a very good actress. Sex-positive and lesbian-positive without being preachy or sappy, this is a smart, weird comedy with a ton of personality and GREAT DIALOGUE.",9
