"cID","sChurn","sAge","sIncome","sGender","sEmployment","sRelationship","sSexuality","sGenre","sSelection","sPricing","sSuggestions","sUsability","sRecommend"
"75",NULL,"35-44","74,999-99,999","Other","Self","Partnered","Other","Animation","0","7","9","10","9"
"76",NULL,"25-34","74,999-99,999","Feamle","Student","Seperated","Gay/Lesbian","Biography","9","2","10","1","6"
"77",NULL,"45-54","15,000>","Feamle","Full","Partnered","Other","Action","4","6","9","1","10"
"78",NULL,"18-24","15,000-34,999","Non-binary","None",NULL,"Gay/Lesbian","Crime","6","1","10","2","1"
"79",NULL,"25-34","35,000-49,999","Feamle","Full",NULL,"Gay/Lesbian","Adventure","2","0","8","5","5"
"80",NULL,"55-64","74,999-99,999","Other","Part","Partnered",NULL,"Adventure","9","4","5","10","10"
"81",NULL,"18-24","15,000>","Male","Student","Seperated","Bisexual","Action","6","2","5","10","1"
"82",NULL,"25-34","50,000-74,999",NULL,"Part","Single",NULL,"Animation","4","7","4","5","3"
"83",NULL,"25-34","15,000>","Non-binary","Student",NULL,"Other","Adventure","1","4","10","5","9"
"84",NULL,"18-24","15,000>","Feamle","Part","Married",NULL,"Crime","3","4","10","7","1"
"85",NULL,"55-64","15,000-34,999","Male","Student","Married","Gay/Lesbian","Biography","3","4","6","1","7"
"86",NULL,"45-54","15,000-34,999","Other","Self","Single","Bisexual","Animation","3","4","6","7","10"
"87",NULL,"45-54","35,000-49,999","Male","None","Single",NULL,"Action","5","5","8","0","10"
"88",NULL,"45-54","15,000-34,999",NULL,"Full","Married","Other","Adventure","4","6","3","0","9"
"89",NULL,"45-54","50,000-74,999",NULL,"Full","Seperated","Gay/Lesbian","Crime","7","3","3","2","6"
"90",NULL,"45-54","15,000-34,999",NULL,"Part","Single","Bisexual","Animation","5","3","1","6","10"
"91",NULL,"25-34","15,000-34,999","Male","Part","Partnered","Gay/Lesbian","Biography","3","9","6","7","7"
"92",NULL,"25-34","35,000-49,999","Male","Student","Married","Bisexual","Action","8","0","6","5","1"
"93",NULL,"55-64","35,000-49,999","Feamle","Self","Seperated","Bisexual","Biography","9","3","5","0","2"
"94",NULL,"45-54","15,000>","Other","None","Single","Gay/Lesbian","Adventure","4","4","7","3","10"
"95",NULL,"35-44","74,999-99,999","Non-binary","Full","Married","Bisexual","Adventure","7","6","5","6","3"
"96",NULL,"35-44","50,000-74,999","Male","None","Married","Heterosexual","Action","8","5","8","8","9"
"97",NULL,"45-54","15,000-34,999","Feamle","Part","Single","Gay/Lesbian","Action","7","9","9","10","6"
"98",NULL,"35-44","50,000-74,999","Non-binary","Part","Married","Heterosexual","Biography","5","9","7","3","10"
"99",NULL,"35-44","15,000>","Non-binary","Student","Married","Gay/Lesbian","Action","0","0","0","4","6"
"100",NULL,"35-44","35,000-49,999","Male","None","Partnered",NULL,"Adventure","9","4","9","6","5"
"101",NULL,"35-44","74,999-99,999","Other","Full","Married","Heterosexual","Adventure","8","5","10","4","5"
"102",NULL,"18-24","74,999-99,999","Non-binary","None","Seperated","Bisexual","Animation","10","3","4","0","9"
"103",NULL,"45-54","50,000-74,999","Male","None","Single","Bisexual","Action","0","0","1","5","2"
"104",NULL,"25-34","15,000>","Feamle","None","Seperated","Other","Adventure","5","3","7","6","8"
"105",NULL,"45-54","15,000>","Male","Part","Partnered","Bisexual","Crime","10","3","9","5","2"
"106",NULL,"35-44","15,000>","Male","Full","Married",NULL,"Crime","0","5","6","3","2"
"107",NULL,"35-44","15,000-34,999","Feamle","Full","Married","Other","Crime","6","4","4","8","3"
"108",NULL,"35-44","74,999-99,999","Male","Full","Married","Other","Crime","5","7","8","3","6"
"109",NULL,"18-24","15,000-34,999","Non-binary","None","Married","Heterosexual","Action","7","9","2","3","7"
"110",NULL,"35-44","74,999-99,999","Male","Part","Partnered","Gay/Lesbian","Crime","2","4","0","8","3"
"111",NULL,"35-44","50,000-74,999",NULL,"Full","Married","Gay/Lesbian","Crime","4","2","3","0","0"
"112",NULL,"18-24","50,000-74,999","Feamle","Full","Single","Bisexual","Action","5","9","5","6","7"
"113",NULL,"55-64","15,000>","Other","Self","Single",NULL,"Crime","8","5","10","2","6"
"114",NULL,"55-64","15,000-34,999","Non-binary","Part","Single","Other","Crime","9","4","1","7","4"
"115",NULL,"18-24","35,000-49,999","Other","Self",NULL,NULL,"Biography","8","7","10","5","3"
"116",NULL,"45-54","50,000-74,999","Feamle","Part","Partnered",NULL,"Crime","7","3","5","4","3"
"117",NULL,"25-34","74,999-99,999","Other","Part","Seperated","Heterosexual","Animation","1","6","5","2","7"
"118",NULL,"18-24","15,000>","Feamle","Student","Seperated","Heterosexual","Animation","3","5","10","10","6"
"119",NULL,"25-34","35,000-49,999","Other","None","Single","Bisexual","Crime","3","3","3","3","5"
"120",NULL,"25-34","50,000-74,999","Feamle","Full","Married",NULL,"Crime","1","9","6","7","5"
"121",NULL,"35-44","15,000-34,999","Non-binary","Full","Married","Bisexual","Animation","7","6","4","3","1"
"122",NULL,"45-54","15,000-34,999","Non-binary","Full","Married","Heterosexual","Adventure","10","2","8","8","4"
"123",NULL,"25-34","74,999-99,999","Male","Student",NULL,NULL,"Crime","6","1","0","6","5"
"124",NULL,"25-34","15,000-34,999","Male","Full","Seperated","Other","Animation","10","9","2","8","2"
"125",NULL,"35-44","15,000>","Male","None","Seperated","Bisexual","Biography","4","3","10","3","3"
"126",NULL,"35-44","15,000-34,999","Non-binary","None","Married",NULL,"Action","2","8","3","2","7"
"127",NULL,"35-44","35,000-49,999","Male","Full","Married",NULL,"Biography","1","4","4","7","2"
"128",NULL,"35-44","74,999-99,999","Other","Part","Seperated","Heterosexual","Animation","1","10","2","9","7"
"129",NULL,"18-24","74,999-99,999","Male","Part","Married","Bisexual","Adventure","1","0","2","6","4"
"130",NULL,"25-34","74,999-99,999","Feamle","Self","Seperated","Bisexual","Crime","2","9","6","8","9"
"131",NULL,"45-54","74,999-99,999","Male","Student","Partnered","Other","Adventure","4","2","5","10","1"
"132",NULL,"35-44","50,000-74,999","Non-binary","None",NULL,NULL,"Adventure","3","6","4","5","6"
"133",NULL,"18-24","35,000-49,999","Other","None","Married","Gay/Lesbian","Action","9","4","8","10","6"
"134",NULL,"45-54","50,000-74,999","Male","Self","Single","Bisexual","Adventure","1","6","9","2","7"
"135",NULL,"25-34","15,000-34,999","Male","Part","Married","Gay/Lesbian","Animation","0","5","4","3","8"
"136",NULL,"55-64","15,000-34,999","Other","Part",NULL,"Other","Biography","5","3","3","8","0"
"137",NULL,"45-54","35,000-49,999","Non-binary","Student","Seperated","Heterosexual","Crime","10","4","1","8","5"
"138",NULL,"45-54","50,000-74,999",NULL,"None","Partnered","Bisexual","Action","2","2","2","1","6"
"139",NULL,"18-24","15,000-34,999","Male","Self","Seperated","Other","Adventure","9","7","1","3","1"
"140",NULL,"18-24","50,000-74,999","Male","Student","Married",NULL,"Crime","4","6","0","9","1"
"141",NULL,"25-34","74,999-99,999","Other","Self",NULL,"Gay/Lesbian","Crime","9","7","5","0","0"
"142",NULL,"55-64","35,000-49,999",NULL,"Student","Single","Bisexual","Action","9","4","7","10","2"
"143",NULL,"18-24","15,000>","Non-binary","Self","Seperated",NULL,"Biography","1","3","7","5","8"
"144",NULL,"18-24","50,000-74,999","Feamle","None","Single",NULL,"Animation","6","1","1","4","2"
"145",NULL,"25-34","74,999-99,999","Other","Self","Partnered",NULL,"Adventure","10","3","10","9","10"
"146",NULL,"35-44","35,000-49,999","Non-binary","Full","Married","Bisexual","Crime","0","0","0","7","0"
"147",NULL,"35-44","50,000-74,999","Male","None","Seperated","Other","Animation","10","3","9","1","0"
"148",NULL,"45-54","74,999-99,999","Non-binary","Student","Married","Gay/Lesbian","Action","0","10","8","9","3"
"149",NULL,"25-34","15,000>","Other","None",NULL,"Other","Adventure","7","2","7","9","9"
"150",NULL,"35-44","15,000>","Other","Part","Partnered","Other","Animation","1","2","6","7","5"
"151",NULL,"35-44","50,000-74,999","Other","Self",NULL,"Gay/Lesbian","Adventure","4","6","8","1","0"
"152",NULL,"18-24","15,000>","Non-binary","None","Married",NULL,"Animation","7","5","9","9","8"
"153",NULL,"45-54","74,999-99,999","Other","Self","Seperated","Other","Crime","6","4","0","9","3"
"154",NULL,"25-34","50,000-74,999","Other","Self","Single","Other","Action","8","6","4","8","9"
"155",NULL,"55-64","74,999-99,999","Non-binary","Part","Partnered","Gay/Lesbian","Action","0","4","0","7","3"
"156",NULL,"18-24","35,000-49,999",NULL,"Student",NULL,NULL,"Adventure","7","0","9","6","7"
"157",NULL,"45-54","15,000>","Feamle","Self","Seperated","Bisexual","Biography","6","5","2","4","4"
"158",NULL,"25-34","15,000-34,999","Male","Full","Seperated","Gay/Lesbian","Biography","7","2","7","3","10"
"159",NULL,"55-64","15,000-34,999",NULL,"Self","Single","Heterosexual","Action","4","9","2","8","8"
"160",NULL,"25-34","74,999-99,999","Male","Part","Married","Gay/Lesbian","Animation","10","2","1","1","9"
"161",NULL,"55-64","15,000-34,999","Other","Student",NULL,"Heterosexual","Adventure","0","9","8","4","6"
"162",NULL,"25-34","15,000>","Other","Part",NULL,NULL,"Action","3","6","1","5","1"
"163",NULL,"55-64","35,000-49,999","Male","Part","Seperated","Heterosexual","Crime","2","10","0","10","2"
"164",NULL,"35-44","35,000-49,999","Feamle","Self","Single","Bisexual","Crime","2","1","10","4","2"
"165",NULL,"55-64","15,000-34,999","Feamle","Student","Married","Heterosexual","Adventure","1","0","4","3","6"
"166",NULL,"45-54","35,000-49,999","Non-binary","Student","Seperated","Bisexual","Adventure","9","1","7","5","7"
"167",NULL,"55-64","15,000-34,999","Non-binary","Part","Partnered",NULL,"Adventure","5","3","1","6","4"
"168",NULL,"45-54","15,000-34,999","Feamle","None","Married","Other","Adventure","4","8","7","5","1"
"169",NULL,"18-24","35,000-49,999","Non-binary","Self","Seperated","Other","Biography","6","2","2","4","3"
"170",NULL,"25-34","35,000-49,999","Male","Part","Single","Other","Adventure","7","0","2","4","10"
"171",NULL,"55-64","15,000>","Male","Self","Seperated","Gay/Lesbian","Animation","3","1","4","2","2"
"172",NULL,"25-34","15,000-34,999","Feamle","Part","Married","Gay/Lesbian","Crime","5","7","10","6","8"
"173",NULL,"55-64","74,999-99,999","Feamle","Full","Single","Other","Crime","6","4","9","7","10"
"174",NULL,"35-44","50,000-74,999","Male","Part","Married","Bisexual","Crime","9","2","7","7","0"
"175",NULL,"45-54","15,000>","Male","Part",NULL,"Bisexual","Biography","5","4","3","2","9"
"176",NULL,"35-44","74,999-99,999","Feamle","Part","Married",NULL,"Animation","3","7","2","7","4"
"177",NULL,"45-54","50,000-74,999","Non-binary","Part","Partnered",NULL,"Adventure","3","6","9","10","10"
"178",NULL,"18-24","50,000-74,999","Non-binary","Part","Married",NULL,"Adventure","9","0","9","9","8"
"179",NULL,"55-64","74,999-99,999","Feamle","Self","Single","Bisexual","Action","7","6","1","6","7"
"180",NULL,"25-34","74,999-99,999",NULL,"Self","Partnered","Bisexual","Biography","9","6","6","6","10"
"181",NULL,"25-34","74,999-99,999","Other","Part","Seperated","Bisexual","Adventure","8","0","10","10","8"
"182",NULL,"25-34","35,000-49,999",NULL,"Full","Married","Bisexual","Crime","5","8","10","5","6"
"183",NULL,"25-34","35,000-49,999","Feamle","Full",NULL,"Other","Action","4","10","3","8","7"
"184",NULL,"35-44","50,000-74,999","Male","Self","Single","Heterosexual","Animation","1","3","0","10","1"
"185",NULL,"25-34","15,000>","Other","Full","Seperated","Gay/Lesbian","Action","6","0","10","1","9"
"186",NULL,"45-54","15,000>","Other","None",NULL,"Heterosexual","Action","7","8","10","9","1"
"187",NULL,"35-44","15,000-34,999",NULL,"Self","Married","Gay/Lesbian","Biography","0","9","3","7","8"
"188",NULL,"35-44","15,000-34,999","Other","Part","Partnered","Heterosexual","Biography","8","8","7","10","3"
"189",NULL,"35-44","15,000>","Feamle","Self","Single","Gay/Lesbian","Biography","7","5","3","3","10"
"190",NULL,"18-24","74,999-99,999","Other","None","Single","Gay/Lesbian","Biography","1","8","7","2","10"
"191",NULL,"35-44","50,000-74,999",NULL,"Self","Single","Gay/Lesbian","Biography","9","1","2","5","0"
"192",NULL,"35-44","35,000-49,999","Male","Part","Partnered","Heterosexual","Crime","1","4","1","10","6"
"193",NULL,"35-44","15,000>",NULL,"None","Single","Bisexual","Action","2","3","7","7","6"
"194",NULL,"35-44","35,000-49,999","Other","Full","Married","Other","Biography","8","6","6","8","3"
"195",NULL,"45-54","35,000-49,999","Other","Part","Single","Gay/Lesbian","Adventure","10","9","3","4","3"
"196",NULL,"35-44","15,000-34,999","Other","None","Seperated",NULL,"Crime","1","1","7","2","1"
"197",NULL,"18-24","35,000-49,999",NULL,"None",NULL,"Heterosexual","Biography","9","9","5","4","4"
"198",NULL,"55-64","15,000>","Other","Student","Single",NULL,"Animation","9","1","10","10","6"
"199",NULL,"35-44","35,000-49,999","Feamle","None","Single","Heterosexual","Biography","5","6","4","2","9"
"200",NULL,"25-34","74,999-99,999","Male","Part","Seperated","Bisexual","Adventure","2","0","7","7","9"
"201",NULL,"18-24","35,000-49,999","Feamle","None","Married","Heterosexual","Biography","2","10","7","10","6"
"202",NULL,"45-54","15,000>","Male","None","Married","Bisexual","Adventure","4","1","8","1","5"
"203",NULL,"55-64","15,000>","Non-binary","Student",NULL,"Bisexual","Crime","7","9","9","7","9"
"204",NULL,"45-54","15,000>","Non-binary","None","Partnered",NULL,"Biography","4","10","3","8","1"
"205",NULL,"18-24","35,000-49,999","Other","Student","Seperated","Other","Action","7","0","0","7","10"
"206",NULL,"45-54","74,999-99,999",NULL,"Student","Seperated","Gay/Lesbian","Biography","1","6","8","6","3"
"207",NULL,"55-64","74,999-99,999","Other","None","Married",NULL,"Animation","5","0","3","0","3"
"208",NULL,"55-64","15,000>",NULL,"None","Seperated","Heterosexual","Action","4","4","2","7","0"
"209",NULL,"45-54","50,000-74,999","Other","Self","Partnered","Heterosexual","Animation","1","7","0","7","7"
"210",NULL,"25-34","50,000-74,999","Male","Full","Married","Heterosexual","Animation","10","4","6","10","10"
"211",NULL,"35-44","15,000>","Male","Self","Single","Other","Biography","9","6","3","10","7"
"212",NULL,"55-64","35,000-49,999","Male","Full","Single","Bisexual","Animation","5","3","5","8","5"
"213",NULL,"55-64","74,999-99,999",NULL,"None","Partnered",NULL,"Crime","10","7","10","0","3"
"214",NULL,"25-34","50,000-74,999",NULL,"Student","Partnered","Other","Crime","6","3","5","10","10"
"215",NULL,"55-64","50,000-74,999",NULL,"Student","Partnered","Other","Adventure","3","10","2","4","2"
"216",NULL,"25-34","74,999-99,999",NULL,"Self","Single","Gay/Lesbian","Adventure","1","7","7","4","6"
"217",NULL,"35-44","74,999-99,999","Other","Student","Seperated",NULL,"Animation","2","4","10","8","2"
"218",NULL,"18-24","35,000-49,999","Feamle","Full","Partnered",NULL,"Biography","0","5","5","3","9"
"219",NULL,"45-54","74,999-99,999","Feamle","Part","Seperated","Gay/Lesbian","Crime","1","9","1","1","3"
"220",NULL,"18-24","15,000-34,999","Non-binary","Full",NULL,"Heterosexual","Adventure","3","8","2","1","9"
"221",NULL,"35-44","35,000-49,999",NULL,"Self","Married","Other","Animation","5","6","1","9","10"
"222",NULL,"55-64","74,999-99,999",NULL,"Self","Partnered","Gay/Lesbian","Crime","10","9","3","3","6"
"223",NULL,"25-34","74,999-99,999","Feamle","None","Married","Gay/Lesbian","Crime","5","0","1","4","0"
"224",NULL,"18-24","15,000-34,999","Feamle","None","Married","Other","Biography","5","5","10","4","10"
"225",NULL,"18-24","15,000-34,999","Male","Self","Seperated","Bisexual","Crime","6","9","10","7","1"
"226",NULL,"25-34","50,000-74,999","Feamle","Student","Partnered","Gay/Lesbian","Biography","0","6","2","5","2"
"227",NULL,"45-54","15,000>","Other","Student","Partnered","Bisexual","Biography","9","6","3","9","1"
"228",NULL,"45-54","15,000-34,999","Other","Student","Partnered","Gay/Lesbian","Biography","5","6","1","2","7"
"229",NULL,"45-54","74,999-99,999","Feamle","None","Single","Bisexual","Animation","8","1","8","9","6"
"230",NULL,"45-54","50,000-74,999","Other","Part",NULL,"Other","Crime","2","9","3","9","9"
"231",NULL,"55-64","50,000-74,999","Other","None",NULL,NULL,"Animation","7","8","10","0","5"
"232",NULL,"18-24","74,999-99,999","Non-binary","None","Partnered","Other","Biography","10","1","10","5","0"
"233",NULL,"55-64","15,000-34,999","Male","Self",NULL,NULL,"Action","8","3","6","7","1"
"234",NULL,"18-24","50,000-74,999",NULL,"Full","Married","Heterosexual","Biography","6","9","2","6","6"
"235",NULL,"55-64","35,000-49,999",NULL,"None","Married","Bisexual","Animation","8","3","5","5","7"
"236",NULL,"35-44","15,000>","Male","Part","Single",NULL,"Animation","0","7","4","4","1"
"237",NULL,"45-54","50,000-74,999","Non-binary","Part","Partnered","Bisexual","Animation","0","1","1","1","5"
"238",NULL,"55-64","35,000-49,999","Feamle","Student","Seperated","Other","Animation","5","2","5","8","0"
"239",NULL,"55-64","15,000-34,999","Non-binary","None","Seperated","Heterosexual","Adventure","6","3","4","5","1"
"240",NULL,"55-64","35,000-49,999","Male","None",NULL,NULL,"Adventure","10","9","0","3","5"
"241",NULL,"45-54","74,999-99,999","Other","Student","Seperated",NULL,"Crime","8","4","5","5","8"
"242",NULL,"45-54","35,000-49,999","Other","Full","Seperated","Other","Crime","0","10","8","4","9"
"243",NULL,"18-24","74,999-99,999","Male","None","Single",NULL,"Adventure","4","2","3","9","5"
"244",NULL,"45-54","35,000-49,999","Feamle","Part","Seperated","Bisexual","Adventure","4","3","1","1","8"
"245",NULL,"45-54","50,000-74,999","Non-binary","None",NULL,"Other","Crime","2","10","5","8","7"
"246",NULL,"18-24","35,000-49,999","Male","None","Married",NULL,"Adventure","1","3","5","2","10"
"247",NULL,"35-44","50,000-74,999",NULL,"None","Single","Heterosexual","Biography","2","0","3","8","6"
"248",NULL,"18-24","15,000>","Feamle","Student","Single","Gay/Lesbian","Adventure","0","6","0","5","8"
"249",NULL,"45-54","15,000-34,999","Other","Part","Married","Gay/Lesbian","Adventure","5","6","7","10","9"
"250",NULL,"55-64","15,000>",NULL,"None","Single","Heterosexual","Adventure","7","1","0","0","9"
"251",NULL,"18-24","15,000-34,999","Feamle","Full","Single","Heterosexual","Crime","10","1","1","5","6"
"252",NULL,"25-34","50,000-74,999","Male","Self","Single","Heterosexual","Biography","1","10","6","7","2"
"253",NULL,"45-54","50,000-74,999","Male","Student","Seperated","Heterosexual","Adventure","8","10","10","7","1"
"254",NULL,"45-54","50,000-74,999","Feamle","Student","Single","Bisexual","Crime","0","9","10","10","2"
"255",NULL,"18-24","15,000>","Male","None","Partnered",NULL,"Crime","2","4","1","8","3"
"256",NULL,"18-24","35,000-49,999","Non-binary","None","Married","Gay/Lesbian","Crime","9","10","0","8","10"
"257",NULL,"55-64","15,000-34,999","Male","Self","Seperated","Gay/Lesbian","Animation","2","9","5","6","5"
"258",NULL,"45-54","35,000-49,999","Feamle","Part","Single",NULL,"Crime","0","3","5","10","9"
"259",NULL,"35-44","15,000-34,999","Other","Full","Married",NULL,"Crime","9","9","8","1","9"
"260",NULL,"55-64","35,000-49,999",NULL,"Student","Partnered","Bisexual","Adventure","1","4","7","3","1"
"261",NULL,"35-44","15,000>","Male","Full","Partnered","Other","Biography","2","5","0","8","0"
"262",NULL,"18-24","15,000>",NULL,"Part",NULL,"Other","Action","0","1","0","0","7"
"263",NULL,"35-44","50,000-74,999","Non-binary","Part","Seperated","Bisexual","Animation","4","2","0","3","8"
"264",NULL,"35-44","74,999-99,999","Male","Self","Partnered","Other","Animation","3","3","3","3","2"
"265",NULL,"18-24","15,000-34,999","Other","Part",NULL,"Other","Animation","6","8","0","8","7"
"266",NULL,"25-34","15,000>","Feamle","Full","Seperated","Bisexual","Animation","3","4","2","10","0"
"267",NULL,"55-64","15,000-34,999",NULL,"Student","Partnered","Gay/Lesbian","Crime","0","5","4","10","7"
