cID,sAge,sIncome,sGender,sEmployment,sRelationship,sChurn
95,35-44,0-15000,Non-binary,Full,Married,0
96,35-44,15000-34999,Feamle,Part,Married,0
97,45-54,100000-200000,Non-binary,Self,,1
98,18-24,100000-200000,Non-binary,Part,Married,0
99,35-44,50000-74999,Other,Self,Seperated,0
100,45-54,74999-99999,Non-binary,None,Seperated,0
101,35-44,74999-99999,Other,Self,Partnered,0
102,18-24,50000-74999,Non-binary,Student,Married,1
103,45-54,50000-74999,,Self,Seperated,1
104,55-64,100000-200000,Male,None,Partnered,0
105,65-100,0-15000,Other,Part,Seperated,0
106,55-64,50000-74999,,Full,Partnered,1
107,55-64,50000-74999,Non-binary,Full,Single,0
108,45-54,,Feamle,Part,Single,1
109,65-100,50000-74999,Male,Student,Seperated,0
110,35-44,,Other,Student,,0
111,35-44,,Other,,,1
112,35-44,0-15000,Feamle,Student,,1
113,35-44,,Non-binary,Full,Single,1
114,18-24,35000-49999,,Student,,0
115,35-44,50000-74999,Other,Full,,1
116,,100000-200000,Non-binary,Part,Single,0
117,,,Male,None,Married,1
118,,100000-200000,Male,Student,Married,0
119,25-34,35000-49999,Non-binary,None,Single,0
120,55-64,74999-99999,,Full,,0
121,65-100,74999-99999,Feamle,Self,Partnered,1
122,25-34,50000-74999,Feamle,Full,,0
123,65-100,15000-34999,Male,Student,Seperated,0
124,35-44,50000-74999,Male,Full,,0
125,25-34,0-15000,,Student,Married,0
126,35-44,15000-34999,Feamle,Student,,1
127,18-24,50000-74999,Feamle,Part,Partnered,0
128,,,Male,Part,,1
129,35-44,50000-74999,Non-binary,,Seperated,0
130,35-44,74999-99999,Non-binary,,,1
131,35-44,100000-200000,Male,Part,Married,0
132,55-64,74999-99999,,Student,Married,0
133,18-24,15000-34999,Other,None,Seperated,1
134,35-44,15000-34999,Other,Part,Seperated,1
135,65-100,50000-74999,Feamle,,Single,1
136,18-24,,Male,Self,Married,0
137,35-44,74999-99999,,Full,Single,1
138,55-64,,,Self,Married,1
139,55-64,15000-34999,,None,Partnered,1
140,35-44,35000-49999,Other,,Married,0
141,65-100,100000-200000,Other,Part,,1
142,65-100,74999-99999,,Full,Married,0
143,,,Feamle,Full,,1
144,25-34,0-15000,,Student,Married,0
145,25-34,35000-49999,Non-binary,Self,Married,0
146,35-44,50000-74999,Male,Full,Seperated,1
147,25-34,74999-99999,Non-binary,Part,Single,1
148,45-54,15000-34999,,Student,Single,0
149,,0-15000,Male,,Married,0
150,55-64,35000-49999,Other,,,0
151,55-64,50000-74999,,Full,Single,0
152,18-24,50000-74999,,Student,Partnered,0
153,,74999-99999,Other,Self,Partnered,1
154,45-54,35000-49999,Non-binary,Self,Seperated,0
155,35-44,15000-34999,Male,Student,Seperated,1
156,45-54,15000-34999,Feamle,,Married,0
157,,50000-74999,Feamle,Part,Seperated,0
158,35-44,0-15000,Feamle,Full,Partnered,0
159,18-24,15000-34999,,Self,Partnered,1
160,18-24,35000-49999,Male,,Seperated,1
161,35-44,74999-99999,,,Married,0
162,18-24,0-15000,Feamle,Student,Married,1
163,55-64,74999-99999,Male,Student,Seperated,1
164,35-44,,,Student,Single,0
165,55-64,,Other,Student,Seperated,0
166,45-54,100000-200000,Other,,,0
167,45-54,35000-49999,Other,Full,Single,0
168,65-100,,Male,Part,Married,0
169,35-44,0-15000,Non-binary,,Partnered,1
170,45-54,100000-200000,Male,Full,Single,0
171,55-64,35000-49999,,Student,Married,0
172,35-44,74999-99999,Other,Self,Single,1
173,45-54,100000-200000,Non-binary,Student,Single,0
174,55-64,74999-99999,Other,Full,Married,0
175,65-100,15000-34999,Male,Full,Partnered,1
176,,,Non-binary,Student,Single,0
177,18-24,0-15000,Non-binary,,,0
178,,0-15000,Non-binary,Self,Seperated,0
179,,,Feamle,Part,,0
180,18-24,50000-74999,,Full,Partnered,0
181,18-24,74999-99999,Male,Self,Single,1
182,35-44,50000-74999,Other,Self,Partnered,0
183,,,Male,Self,Single,1
184,65-100,15000-34999,Feamle,None,Seperated,0
185,25-34,,Feamle,None,Seperated,0
186,35-44,,Non-binary,None,,0
187,45-54,,Male,None,Single,1
188,45-54,100000-200000,Feamle,None,Married,1
189,18-24,50000-74999,Non-binary,Self,Partnered,0
190,18-24,35000-49999,Male,Full,Single,1
191,55-64,35000-49999,Feamle,Self,,1
192,65-100,15000-34999,Male,Part,Seperated,0
193,35-44,50000-74999,Non-binary,Part,Partnered,0
194,45-54,0-15000,Other,None,Married,0
195,45-54,74999-99999,Non-binary,Self,Married,1
196,25-34,,Male,Student,Partnered,0
197,,,Non-binary,Part,,1
198,65-100,50000-74999,Non-binary,Part,Single,0
199,,35000-49999,Male,Full,Married,0
200,65-100,50000-74999,Feamle,Full,Single,1
201,65-100,100000-200000,Male,Self,Seperated,0
202,45-54,74999-99999,Non-binary,Part,Single,0
203,,0-15000,,None,Married,0
204,25-34,,Male,None,Partnered,0
205,18-24,35000-49999,Feamle,Full,Married,0
206,35-44,0-15000,Other,Part,Single,0
207,,,,Self,Married,0
208,,,Non-binary,Self,,0
209,25-34,74999-99999,Feamle,,,1
210,25-34,50000-74999,,None,,0
211,,50000-74999,,Full,,0
212,55-64,100000-200000,Other,,Seperated,1
213,45-54,15000-34999,Male,Full,Seperated,0
214,35-44,50000-74999,Male,Self,Single,0
215,55-64,0-15000,Other,Student,Seperated,0
216,65-100,100000-200000,Non-binary,Full,Partnered,1
217,25-34,74999-99999,Feamle,Student,Seperated,0
218,25-34,50000-74999,Male,None,Single,0
219,25-34,15000-34999,Non-binary,None,Married,1
220,,15000-34999,,None,Single,1
221,18-24,50000-74999,Non-binary,,,0
222,45-54,74999-99999,Non-binary,Full,Married,0
223,65-100,74999-99999,Other,Full,Married,1
224,18-24,15000-34999,,Full,,0
225,55-64,0-15000,Feamle,Student,Single,1
226,55-64,15000-34999,,Student,Partnered,0
227,65-100,15000-34999,Feamle,Self,Single,0
228,45-54,74999-99999,Non-binary,Part,,0
229,,15000-34999,Feamle,,Single,0
230,,15000-34999,Non-binary,Part,Partnered,1
231,35-44,,Non-binary,Self,,0
232,65-100,,,Student,Seperated,0
233,45-54,,,Full,Partnered,0
234,18-24,50000-74999,Non-binary,,Partnered,1
235,45-54,,Feamle,Full,Married,0
236,65-100,100000-200000,,,Seperated,0
237,,0-15000,Non-binary,Self,Married,1
238,,35000-49999,Other,,Seperated,0
239,45-54,50000-74999,Male,Part,Single,1
240,,50000-74999,Feamle,Student,Partnered,0
241,65-100,0-15000,,,Partnered,0
242,,,,,Married,0
243,65-100,35000-49999,,Part,Seperated,0
244,18-24,0-15000,Feamle,Self,Seperated,0
245,25-34,,Non-binary,Student,,0
246,35-44,100000-200000,Other,,Seperated,0
247,45-54,,Feamle,Part,Single,1
248,25-34,100000-200000,Non-binary,,Single,0
249,,15000-34999,,Part,Single,0
250,18-24,74999-99999,Male,Full,Seperated,0
251,55-64,35000-49999,,,Married,0
252,65-100,15000-34999,Non-binary,None,Seperated,0
253,55-64,100000-200000,,None,Married,0
254,25-34,,Male,Part,Seperated,1
255,65-100,74999-99999,Non-binary,Full,Seperated,0
256,,15000-34999,Other,Self,Married,0
257,18-24,50000-74999,Feamle,None,Single,1
258,55-64,0-15000,,Student,Married,1
259,55-64,35000-49999,,Student,Married,0
260,18-24,,Feamle,,Single,0
261,55-64,0-15000,,Self,Partnered,0
262,45-54,50000-74999,Other,Student,Seperated,0
263,,35000-49999,Male,Self,Single,1
264,35-44,0-15000,Male,Full,Married,1
265,25-34,50000-74999,Feamle,Part,Seperated,1
266,35-44,100000-200000,Male,,Partnered,0
267,55-64,0-15000,Non-binary,Self,Seperated,0
268,35-44,100000-200000,,None,Partnered,0
269,18-24,74999-99999,Male,None,Married,1
270,45-54,15000-34999,Feamle,Part,Seperated,0
271,65-100,,,Full,Single,1
272,45-54,100000-200000,Male,Full,Married,1
273,55-64,35000-49999,Non-binary,None,Single,0
274,45-54,74999-99999,Male,None,Single,1
275,25-34,35000-49999,Feamle,Student,Married,1
276,25-34,35000-49999,,,Married,1
277,25-34,100000-200000,Non-binary,Student,Single,0
278,55-64,50000-74999,,Self,,0
279,18-24,35000-49999,,Self,Single,1
280,55-64,15000-34999,,Self,Married,1
281,25-34,35000-49999,Feamle,,Partnered,1
282,45-54,74999-99999,,Part,Married,0
283,25-34,35000-49999,Non-binary,None,Partnered,1
284,65-100,74999-99999,Feamle,Part,Partnered,0
285,18-24,35000-49999,Other,Self,Seperated,0
286,55-64,74999-99999,,Self,,1
287,,50000-74999,Other,Full,Single,1
288,55-64,0-15000,,Part,Single,1
289,55-64,50000-74999,Other,Self,Single,0
290,35-44,15000-34999,Non-binary,Self,Partnered,1
291,45-54,35000-49999,Feamle,Self,Seperated,0
292,,0-15000,,,Partnered,0
293,45-54,74999-99999,Other,Full,Seperated,0
294,45-54,,Male,Self,Seperated,0
295,45-54,,Non-binary,None,Seperated,1
296,45-54,0-15000,Other,Full,Married,1
297,45-54,,Non-binary,Student,Partnered,0
298,25-34,100000-200000,,Self,Single,0
299,35-44,74999-99999,Male,Self,,0
300,25-34,50000-74999,Male,,Partnered,0
301,25-34,50000-74999,Feamle,Self,Single,1
302,,50000-74999,Male,Full,Married,1
303,18-24,74999-99999,,,Seperated,0
304,35-44,50000-74999,Non-binary,Self,Married,1
305,18-24,74999-99999,Male,,Seperated,0
306,45-54,74999-99999,Male,Full,Partnered,0
307,65-100,50000-74999,Male,Self,Partnered,1
308,35-44,0-15000,Male,Student,Married,0
309,,50000-74999,Male,Part,Seperated,0
310,,0-15000,Other,,Partnered,0
311,,35000-49999,Other,Part,,0
312,45-54,74999-99999,Male,Part,Single,1
313,18-24,100000-200000,Feamle,Self,,0
314,35-44,100000-200000,Male,,Single,1
315,35-44,15000-34999,Other,Part,Married,1
316,18-24,0-15000,Non-binary,Full,Single,0
317,,15000-34999,Male,Part,,1
318,55-64,100000-200000,Male,None,Married,0
319,,15000-34999,Feamle,Self,Seperated,1
320,45-54,,Non-binary,Full,Single,0
321,55-64,100000-200000,Non-binary,Full,Partnered,0
322,55-64,50000-74999,Male,Student,Seperated,1
323,55-64,0-15000,Other,Part,Married,0
324,,0-15000,Feamle,None,,0
325,18-24,74999-99999,Male,None,Married,0
326,65-100,50000-74999,Non-binary,Self,Single,1
327,,0-15000,Other,Full,Seperated,0
328,35-44,15000-34999,Feamle,None,Married,1
329,65-100,50000-74999,,None,Single,1
330,25-34,,Non-binary,,Seperated,0
331,,0-15000,Male,Part,Married,0
332,45-54,,,Student,Married,0
333,65-100,0-15000,Male,Self,Seperated,0
334,18-24,100000-200000,,None,,0
335,45-54,,Male,,Partnered,1
336,45-54,50000-74999,Non-binary,Student,Single,0
337,18-24,74999-99999,Feamle,Full,Single,0
338,65-100,,Male,Self,,0
339,,74999-99999,Male,Part,Married,0
340,45-54,74999-99999,,Self,,0
341,35-44,100000-200000,Feamle,,Seperated,1
342,25-34,,Male,Full,Married,0
343,45-54,,Non-binary,Self,Partnered,1
344,18-24,35000-49999,Non-binary,Student,Partnered,0
345,18-24,0-15000,,Part,Single,0
346,18-24,74999-99999,Male,None,,0
347,,,Male,Full,Seperated,1
348,55-64,50000-74999,Feamle,None,Seperated,1
349,18-24,15000-34999,Non-binary,None,Seperated,1
350,,100000-200000,,Full,Seperated,0
351,18-24,15000-34999,Other,Part,Married,0
352,25-34,15000-34999,Non-binary,Part,Married,1
353,,,Feamle,Self,Married,1
354,65-100,35000-49999,Feamle,Full,Partnered,1
355,55-64,35000-49999,Male,,Married,1
356,35-44,0-15000,Feamle,Part,Seperated,0
357,,0-15000,,,Single,0
358,,100000-200000,Feamle,Student,Seperated,0
359,25-34,100000-200000,Non-binary,Full,Seperated,0
360,65-100,35000-49999,Male,None,Seperated,0
361,55-64,,Non-binary,None,Single,0
362,,74999-99999,Other,Full,Seperated,0
363,35-44,0-15000,Non-binary,Part,Married,0
364,65-100,35000-49999,,Self,Single,1
365,65-100,15000-34999,,Full,,1
366,35-44,,Feamle,None,Married,1
367,,35000-49999,Male,None,,0
368,45-54,74999-99999,Non-binary,None,Partnered,1
369,45-54,35000-49999,Other,Part,Seperated,0
370,35-44,,,,Married,0
371,65-100,,Feamle,Full,Married,0
372,25-34,35000-49999,Non-binary,Part,Married,0
373,25-34,,Male,Part,Seperated,1
374,18-24,15000-34999,Other,,Single,1
375,45-54,0-15000,Male,None,Seperated,0
376,35-44,35000-49999,Male,Self,Seperated,0
377,45-54,74999-99999,Non-binary,Full,Married,0
378,45-54,,,Student,,0
379,55-64,15000-34999,Male,None,,0
380,25-34,50000-74999,Feamle,Full,Married,1
381,,35000-49999,Other,Self,,0
382,,74999-99999,,Student,Single,0
383,35-44,74999-99999,Other,None,Single,1
384,65-100,100000-200000,Other,None,Partnered,0
385,65-100,50000-74999,Other,None,Seperated,0
386,25-34,15000-34999,Other,Self,Single,0
387,18-24,,Other,None,Single,0
388,25-34,,Other,Student,,0
389,55-64,0-15000,Male,Full,Partnered,0
390,55-64,100000-200000,Non-binary,Full,Partnered,1
391,45-54,0-15000,,Part,Partnered,0
392,18-24,50000-74999,Non-binary,Student,,0
393,18-24,100000-200000,Other,,Seperated,1
394,25-34,50000-74999,Non-binary,Student,Partnered,0
395,45-54,74999-99999,Feamle,Full,Seperated,0
396,18-24,,,Part,,0
397,,35000-49999,,,Partnered,1
398,18-24,35000-49999,Other,Student,,1
399,,74999-99999,Feamle,Student,Married,0
400,18-24,50000-74999,,None,Partnered,1
401,45-54,100000-200000,Feamle,Part,,0
402,25-34,35000-49999,Feamle,None,Seperated,1
403,55-64,0-15000,Other,Self,Single,0
404,45-54,50000-74999,Male,Part,,0
405,35-44,100000-200000,Non-binary,,Single,0
406,,100000-200000,Feamle,Self,Partnered,1
407,35-44,,Feamle,Part,Seperated,0
408,45-54,15000-34999,Other,Full,Seperated,1
409,65-100,,Non-binary,Student,Married,0
410,,100000-200000,Other,,Married,0
411,65-100,50000-74999,Other,Self,Married,1
412,35-44,0-15000,Male,,Seperated,1
413,35-44,50000-74999,Feamle,,,1
414,,15000-34999,Feamle,Full,Single,0
415,65-100,0-15000,Feamle,Student,Married,1
416,35-44,74999-99999,Other,Self,,0
417,55-64,15000-34999,Feamle,Student,Seperated,0
418,55-64,100000-200000,Other,Student,Seperated,1
419,55-64,,Male,Self,,0
420,25-34,50000-74999,Feamle,Part,Seperated,0
421,45-54,15000-34999,Non-binary,Full,Single,1
422,45-54,15000-34999,Feamle,None,Single,0
423,25-34,,,Full,Married,1
424,35-44,100000-200000,Other,,Single,0
425,18-24,74999-99999,Other,Self,,1
426,65-100,35000-49999,Non-binary,Self,,0
427,45-54,74999-99999,Other,Self,Partnered,0
428,55-64,35000-49999,,Part,Partnered,0
429,55-64,,Feamle,Part,Single,1
430,,0-15000,Other,None,Seperated,1
431,,,Male,,,0
432,18-24,0-15000,,,Married,0
433,45-54,35000-49999,Non-binary,Part,Married,0
434,65-100,74999-99999,,,Single,1
435,35-44,100000-200000,Feamle,Self,Partnered,0
436,25-34,50000-74999,,Full,,0
437,25-34,15000-34999,Male,Full,Seperated,0
438,65-100,0-15000,Other,,Single,1
439,18-24,0-15000,,None,Seperated,0
440,45-54,15000-34999,,Student,Seperated,0
441,18-24,74999-99999,,Student,Single,0
442,18-24,50000-74999,Non-binary,None,,0
443,,50000-74999,Other,Full,Seperated,1
444,18-24,50000-74999,Male,Full,Partnered,0
445,35-44,35000-49999,,,Single,1
446,35-44,100000-200000,Male,Student,Seperated,0
447,55-64,100000-200000,,Part,,0
448,,,,Self,Seperated,1
449,18-24,0-15000,Other,Part,,0
450,65-100,35000-49999,Feamle,Full,,1
451,25-34,15000-34999,Other,,,1
452,,50000-74999,Male,,Seperated,0
453,45-54,35000-49999,Male,None,Seperated,1
454,,74999-99999,Other,None,Married,1
455,65-100,,Other,Full,Seperated,1
456,,15000-34999,,Student,Single,0
457,65-100,0-15000,Non-binary,Full,,1
458,18-24,0-15000,Feamle,Student,Married,1
459,55-64,0-15000,Non-binary,,Married,0
460,,0-15000,Feamle,Student,Single,0
461,,,,Self,,1
462,25-34,100000-200000,Feamle,Student,,0
463,35-44,100000-200000,,Full,,0
464,35-44,100000-200000,Feamle,Self,,0
465,55-64,50000-74999,Non-binary,,,0
466,55-64,0-15000,Other,,Seperated,0
467,35-44,0-15000,,,Single,0
468,,,Feamle,Part,Seperated,0
469,55-64,0-15000,Non-binary,None,,0
470,25-34,15000-34999,Male,Student,Seperated,1
471,35-44,0-15000,Non-binary,,Single,1
472,35-44,100000-200000,Non-binary,None,Single,1
473,55-64,0-15000,Non-binary,None,Partnered,0
474,55-64,35000-49999,Feamle,None,Partnered,1
475,45-54,74999-99999,Other,,,0
476,,100000-200000,Male,Part,Partnered,0
477,45-54,100000-200000,Non-binary,Self,,0
478,35-44,50000-74999,Other,,Married,0
479,55-64,0-15000,Male,Self,,0
480,45-54,50000-74999,,,Married,0
481,45-54,0-15000,Male,None,,1
482,45-54,0-15000,Male,Self,,1
483,55-64,100000-200000,,Full,Married,1
484,18-24,15000-34999,,Full,Seperated,0
485,55-64,,Non-binary,Self,Married,0
486,55-64,50000-74999,Feamle,,Single,0
487,45-54,0-15000,,None,Partnered,0
488,25-34,50000-74999,Non-binary,Student,Seperated,0
489,,,Feamle,Student,Partnered,1
490,45-54,15000-34999,Other,None,Married,0
491,,35000-49999,Male,None,Married,0
492,45-54,100000-200000,Non-binary,Student,Married,0
493,,,Other,Part,Partnered,0
494,,100000-200000,Other,Part,Partnered,0
495,18-24,,,Self,Married,0
496,25-34,74999-99999,Non-binary,Self,Partnered,1
497,25-34,0-15000,Feamle,Full,Seperated,0
498,65-100,100000-200000,,Student,Partnered,0
499,,100000-200000,Other,,Married,1
500,,0-15000,Other,,Seperated,1
501,65-100,50000-74999,Feamle,Full,,0
502,45-54,100000-200000,Other,Full,Seperated,0
503,65-100,35000-49999,Other,Part,,1
504,25-34,50000-74999,Non-binary,Part,,1
505,18-24,100000-200000,Other,,Married,1
506,25-34,15000-34999,Non-binary,Self,,1
507,25-34,35000-49999,Non-binary,,Married,1
508,65-100,0-15000,,Part,Seperated,0
509,65-100,50000-74999,Male,Part,,0
510,65-100,15000-34999,,Student,,0
511,25-34,74999-99999,Non-binary,,Seperated,0
512,25-34,35000-49999,Feamle,Student,Single,0
513,,0-15000,Other,None,Seperated,0
514,25-34,50000-74999,Male,Full,Single,1
515,35-44,100000-200000,,Part,,0
516,18-24,50000-74999,Non-binary,Student,Married,1
517,25-34,74999-99999,Male,Self,Partnered,0
518,55-64,15000-34999,Feamle,Full,Seperated,0
519,18-24,0-15000,Other,Self,Married,1
520,,50000-74999,Male,Self,Partnered,0
521,45-54,74999-99999,,Self,Seperated,1
522,45-54,0-15000,Feamle,None,Partnered,0
523,55-64,,Male,Student,Seperated,1
524,45-54,35000-49999,Other,Part,Single,0
525,18-24,35000-49999,Non-binary,,Married,0
526,18-24,74999-99999,Male,,Seperated,0
527,35-44,15000-34999,Other,Full,Seperated,0
528,18-24,50000-74999,Feamle,Student,Partnered,0
529,,50000-74999,Other,Part,Partnered,0
530,25-34,35000-49999,,Student,,0
531,45-54,100000-200000,Feamle,Student,Married,1
532,35-44,0-15000,,Self,Seperated,0
533,,100000-200000,Feamle,Part,Seperated,0
534,65-100,50000-74999,Male,,Single,0
535,,100000-200000,Other,Student,,0
536,35-44,0-15000,Feamle,,Married,1
537,45-54,0-15000,Feamle,None,Married,0
538,65-100,15000-34999,,Full,Seperated,0
539,45-54,35000-49999,,None,Married,1
540,65-100,74999-99999,,Self,,1
541,35-44,35000-49999,,Part,Married,0
542,35-44,100000-200000,Feamle,Self,Seperated,0
543,45-54,15000-34999,Feamle,Full,Married,1
544,25-34,100000-200000,Non-binary,Part,,0
545,55-64,74999-99999,Other,Student,Single,0
546,65-100,0-15000,Male,None,Partnered,0
547,18-24,,Feamle,Part,Seperated,0
548,45-54,35000-49999,,Part,Married,1
549,35-44,15000-34999,Non-binary,Full,Seperated,1
550,45-54,0-15000,,Self,Seperated,1
551,65-100,50000-74999,Other,Full,,1
552,25-34,35000-49999,Non-binary,None,Seperated,1
553,25-34,0-15000,,None,Married,0
554,65-100,50000-74999,Male,Student,Single,0
555,,74999-99999,Male,Part,Seperated,0
556,25-34,74999-99999,Other,Part,Single,0
557,35-44,0-15000,Feamle,Self,Partnered,0
558,45-54,15000-34999,Feamle,None,Married,0
559,65-100,74999-99999,Feamle,Student,Partnered,0
560,,74999-99999,Feamle,Part,Seperated,0
561,65-100,35000-49999,Feamle,Self,,0
562,35-44,74999-99999,Male,Full,Single,0
563,35-44,0-15000,Male,None,Married,0
564,18-24,74999-99999,,Student,,0
565,25-34,,,,Seperated,0
566,,50000-74999,Male,Student,,0
567,55-64,0-15000,,,Married,0
568,,0-15000,Male,Student,Married,0
569,18-24,100000-200000,Male,Full,,0
570,55-64,0-15000,,Part,Single,0
571,,50000-74999,Other,Self,,0
572,18-24,100000-200000,Non-binary,Self,Single,0
573,35-44,0-15000,Male,,,1
574,,74999-99999,Other,Full,Partnered,0
575,65-100,0-15000,Feamle,Full,,0
576,65-100,74999-99999,Non-binary,Student,,1
577,25-34,50000-74999,,Self,Partnered,1
578,35-44,50000-74999,Non-binary,Student,Seperated,1
579,35-44,15000-34999,,Student,,0
580,35-44,0-15000,,Full,Partnered,0
581,25-34,0-15000,Feamle,Student,Single,0
582,25-34,15000-34999,Non-binary,Full,,1
583,65-100,50000-74999,Other,Full,Married,1
584,35-44,35000-49999,Feamle,Part,Seperated,1
585,55-64,0-15000,Other,None,,0
586,25-34,74999-99999,Feamle,Full,Single,1
587,25-34,50000-74999,Male,Student,Married,1
588,35-44,74999-99999,Other,Student,Single,1
589,45-54,100000-200000,Other,Self,Seperated,0
590,65-100,,Non-binary,Self,,0
591,35-44,100000-200000,,Part,,0
592,25-34,100000-200000,Non-binary,Self,Single,1
593,55-64,,Non-binary,Self,Single,1
594,45-54,,,Student,Seperated,1
595,25-34,15000-34999,Non-binary,Part,Partnered,1
596,65-100,100000-200000,,,Seperated,0
597,35-44,0-15000,Non-binary,Student,Partnered,1
598,25-34,0-15000,Feamle,None,Partnered,0
599,25-34,50000-74999,Male,Student,,0
600,18-24,74999-99999,Male,Part,Seperated,0
601,65-100,35000-49999,Non-binary,None,Married,0
602,35-44,50000-74999,,None,Single,1
603,25-34,35000-49999,Other,Self,,0
604,25-34,74999-99999,Non-binary,Part,Seperated,0
605,,15000-34999,Male,None,Partnered,1
606,18-24,50000-74999,,None,Single,0
607,55-64,35000-49999,,None,,0
608,55-64,15000-34999,Male,,Partnered,0
609,45-54,15000-34999,,Self,Married,0
610,,35000-49999,Other,Part,Seperated,0
611,35-44,50000-74999,Non-binary,,Partnered,0
612,25-34,50000-74999,,Student,,1
613,45-54,100000-200000,Non-binary,Student,Partnered,0
614,55-64,35000-49999,Other,Student,,0
615,45-54,100000-200000,Other,Full,,0
616,45-54,,Feamle,Part,,0
617,45-54,100000-200000,Male,Self,Single,0
618,,74999-99999,Feamle,Student,Seperated,0
619,18-24,100000-200000,Feamle,Full,Married,0
620,55-64,50000-74999,Non-binary,Full,Single,0
621,,0-15000,Other,,,0
622,18-24,0-15000,Other,None,,0
623,,50000-74999,Other,Student,Single,0
624,65-100,100000-200000,Non-binary,None,Single,1
625,55-64,100000-200000,Feamle,,Partnered,0
626,35-44,100000-200000,Non-binary,Student,,0
627,25-34,15000-34999,Male,None,Single,0
628,,74999-99999,Male,,,0
629,18-24,35000-49999,Non-binary,Full,Partnered,0
